username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
viktorfnazaren1;2017-11-03 17:28;0;0;"Вот долбаки-себе во вред действуют, всегда делают не то, не так и не тогда, когда надо https:// news.rambler.ru/politics/38330 954-rf-prekratila-deystvie-odnogo-iz-soglasheniy-s-ukrainoy/?utm_source=twsharing&utm_medium=social …";;;;"926501341370945540";https://twitter.com/viktorfnazaren1/status/926501341370945540
viktorfnazaren1;2017-11-03 17:17;0;0;"Бачили очі, кого вибирали, тепер терпіть, доки очі повилазять https:// vesti-ukr.com/strana/263596- likha-beda-nachalo-dela-na-avakova-starsheho-i-jatsenjuka-uzhe-hotovy#.WfykTAtiwI4.twitter …";;;#;"926498506050818050";https://twitter.com/viktorfnazaren1/status/926498506050818050
viktorfnazaren1;2017-11-03 17:12;0;0;"Чтоб не получилось потом, как с Саакашвили. Ну и друзей себе выбирают! http:// vesti-ukr.com/politika/26353 4-vostochnyj-vizit-poroshenko-bitva-za-krym-samolety-i-bezviz#.WfyjMsc-WEc.twitter …";;;#;"926497230630113280";https://twitter.com/viktorfnazaren1/status/926497230630113280
viktorfnazaren1;2017-11-03 17:07;0;0;"А некрасиво получилось:встречали Саакаш. как родного,обнимали, целовали, а сейчас помои льют.Не знали,кто он такой http:// vesti-ukr.com/strana/263448- smi-rasskazali-o-zaderzhannom-na-hranitse-soratnike-saakashvili#.Wfyh2Mb0nXE.twitter …";;;#;"926496112965505024";https://twitter.com/viktorfnazaren1/status/926496112965505024
viktorfnazaren1;2017-11-03 16:18;0;0;"Плевать на все запреты! Сотрудничество-выгода для экономики, запреты-стагнация https:// news.rambler.ru/world/38332132 -raskryty-podrobnosti-taynyh-peregovorov-rf-i-ukrainy/?utm_source=twsharing&utm_medium=social …";;;;"926483854625509376";https://twitter.com/viktorfnazaren1/status/926483854625509376
viktorfnazaren1;2017-11-03 16:12;1;1;"Совсем из ума выжили! Кому от этого хуже, ведь себе во вред, дебилы! https:// news.rambler.ru/politics/38330 954-rf-prekratila-deystvie-odnogo-iz-soglasheniy-s-ukrainoy/?utm_source=twsharing&utm_medium=social …";;;;"926482277688840193";https://twitter.com/viktorfnazaren1/status/926482277688840193
viktorfnazaren1;2017-11-03 16:09;0;0;"Это предложил враг народа. Не оформлен-оформи, не предназначен для строительства-суд решит https:// news.rambler.ru/politics/38327 435-pravitelstvo-prigotovilo-rossiyanam-snos-dach/?utm_source=twsharing&utm_medium=social …";;;;"926481500262068224";https://twitter.com/viktorfnazaren1/status/926481500262068224
viktorfnazaren1;2017-11-03 16:04;0;0;"Лучше не надо! Опасное увлечение, типа наркотика. Запретить к едрене фене, как побудитель преступности";;;;"926480238418317313";https://twitter.com/viktorfnazaren1/status/926480238418317313
viktorfnazaren1;2017-11-03 16:02;0;0;"А в Индии такой сюжет может быть с всадником на слоне.";;;;"926479667225333765";https://twitter.com/viktorfnazaren1/status/926479667225333765
viktorfnazaren1;2017-11-03 15:59;0;0;"Украина, ау!!!";;;;"926478956546674689";https://twitter.com/viktorfnazaren1/status/926478956546674689
