username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
xDKsNx;2017-11-03 21:16;0;0;"Не. Она офигенная. Из того, что доступно взору.";;;;"926558604886503424";https://twitter.com/xDKsNx/status/926558604886503424
xDKsNx;2017-11-03 21:12;0;1;"Единственный важный парадоксальный факт - на самой богатой земле живут одни из самых нищих людей. АН может это исправить. Остальное - хуйня.";;;;"926557763605598208";https://twitter.com/xDKsNx/status/926557763605598208
xDKsNx;2017-11-03 21:10;0;0;"Егорка, спать бы ты ложился, а то завтра на уроках втыкать будешь. Или каникулы у вас?";;;;"926557209382785024";https://twitter.com/xDKsNx/status/926557209382785024
xDKsNx;2017-11-03 21:09;0;0;"Не время сейчас на Навального гнать. Я тебе после выборов, или в ПМ свои претензии к нему кучей выложу - фиг увезёшь. Не играй на Хуйло.";;;;"926556935888961537";https://twitter.com/xDKsNx/status/926556935888961537
xDKsNx;2017-11-03 21:04;1;0;"Кроме Мальцева, кто ещё оппозиционер, по твоему? Известный и способный двигать массы?";;;;"926555621197008898";https://twitter.com/xDKsNx/status/926555621197008898
xDKsNx;2017-11-03 21:02;0;0;"Ты чего несёшь? Пидорасы путинские тебя купили, что ли?";;;;"926555139082776581";https://twitter.com/xDKsNx/status/926555139082776581
xDKsNx;2017-11-03 21:00;0;0;"Может это тебе напомнит. pic.twitter.com/i76eB56wDg";;;;"926554789315522562";https://twitter.com/xDKsNx/status/926554789315522562
xDKsNx;2017-11-03 20:49;1;1;"Не надо грязи! pic.twitter.com/UQmL2j469N";;;;"926551948450566144";https://twitter.com/xDKsNx/status/926551948450566144
xDKsNx;2017-11-03 20:41;0;0;"Ты бы всё не доедал - оставил, а потом уже звал.";;;;"926549984442535936";https://twitter.com/xDKsNx/status/926549984442535936
xDKsNx;2017-11-03 20:40;0;0;"А ты уже на пенсию собралась, что ли?";;;;"926549660914933760";https://twitter.com/xDKsNx/status/926549660914933760
xDKsNx;2017-11-03 18:21;0;0;"Череп в моторе интересно https:// youtu.be/c9SrbWmWftM с помощью @YouTube";;@YouTube;;"926514570050621440";https://twitter.com/xDKsNx/status/926514570050621440
xDKsNx;2017-11-03 15:54;0;0;"То, что Навал поиграл - хорошо, но гляньте это. Русский Мясник в Playerunknown's Battlegrounds https:// youtu.be/FJBg6q6a87Y с помощью @YouTube";;@YouTube;;"926477789489922049";https://twitter.com/xDKsNx/status/926477789489922049
xDKsNx;2017-11-03 14:29;1;2;"Вы просто не знаете, как тяжело всю жизнь работать продавщицей в сельпо Мухосранска, а потом в "Звезду" журналистом перейти работать.";;;;"926456405971828738";https://twitter.com/xDKsNx/status/926456405971828738
xDKsNx;2017-11-03 14:26;0;0;"Зря ты так о российской нации.";;;;"926455557237690368";https://twitter.com/xDKsNx/status/926455557237690368
