username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
yolandaisawake;2016-12-08 18:57;0;0;"You got us fucked up @youngthug pic.twitter.com/2dB5C5S3MI";;@youngthug;;"806935707969261570";https://twitter.com/yolandaisawake/status/806935707969261570
yolandaisawake;2016-12-08 18:54;2;1;"Most of us proud #african looking & #nappy headed @youngthug";;@youngthug;#african #nappy;"806934953669836801";https://twitter.com/yolandaisawake/status/806934953669836801
yolandaisawake;2016-12-08 18:53;0;1;"Keep ya self hating ass away from black women blk women don't you have burnt nappy headed daughters @youngthug";;@youngthug;;"806934697406251013";https://twitter.com/yolandaisawake/status/806934697406251013
yolandaisawake;2016-12-08 18:51;0;0;"@youngthug I saw yo video trashing women that look just like u wtf is your problem?";;@youngthug;;"806934140037828608";https://twitter.com/yolandaisawake/status/806934140037828608
yolandaisawake;2016-10-14 13:44;0;0;"Y'all need to block like I did idk what's happened rn";;;;"786925550711386112";https://twitter.com/yolandaisawake/status/786925550711386112
yolandaisawake;2016-10-12 17:21;0;0;"U come 2 my house lost & need help I help u now youre stealing my shit & killing my family?";;;;"786255529488228352";https://twitter.com/yolandaisawake/status/786255529488228352
yolandaisawake;2016-10-12 15:58;0;2;"U right. I forget Europe ain't shit that's why no 1 wanted it & its descendants are trash";;;;"786234558828077057";https://twitter.com/yolandaisawake/status/786234558828077057
yolandaisawake;2016-10-10 23:32;0;0;"Your fried chicken & watermelon jokes are so 1950s. Please update your lexicon wypipo";;;;"785624083283050496";https://twitter.com/yolandaisawake/status/785624083283050496
yolandaisawake;2016-10-10 23:30;0;0;"Wypipo using 40-60yr old racial slurs & insults shows how uncreative & little they even think about racism";;;;"785623681884094464";https://twitter.com/yolandaisawake/status/785623681884094464
yolandaisawake;2016-10-10 23:09;1;1;"@contiedemann @msniss313 Killing people over their own shit ain't a war They so full of shit";;@contiedemann @msniss313;;"785618373849653248";https://twitter.com/yolandaisawake/status/785618373849653248
yolandaisawake;2016-10-06 20:15;9;29;"I hope this is satire bc a lot of white people truly think this way";;;;"784124944435130368";https://twitter.com/yolandaisawake/status/784124944435130368
yolandaisawake;2016-10-02 20:56;0;1;"With social media there should be video of this happening all over the Internet somethings wrong";;;;"782685748344475648";https://twitter.com/yolandaisawake/status/782685748344475648
yolandaisawake;2016-10-02 19:31;0;0;"wow boxer braids from over a century ago";;;;"782664387936911360";https://twitter.com/yolandaisawake/status/782664387936911360
yolandaisawake;2016-10-02 19:22;0;0;"I never even see video of white people being killed unarmed. How is that?";;;;"782661992167280640";https://twitter.com/yolandaisawake/status/782661992167280640
yolandaisawake;2016-10-02 18:19;0;0;"@LanaDelSlayRey @TaraSetmayer They really think this is about hating them how self involved can you be omg";;@LanaDelSlayRey @TaraSetmayer;;"782646093234315265";https://twitter.com/yolandaisawake/status/782646093234315265
yolandaisawake;2016-10-02 17:49;0;2;"Why is it that when we say "We want equality! humanity! A fair chance! Stop killing us!" White people hear: KILL ALL WHITE PEOPLE!!!!";;;;"782638748236255232";https://twitter.com/yolandaisawake/status/782638748236255232
yolandaisawake;2016-10-02 17:42;0;0;"Whats the problem w admitting fault stating facts & telling truths? It starts the road 2 recovery";;;;"782636780323344384";https://twitter.com/yolandaisawake/status/782636780323344384
yolandaisawake;2016-10-02 17:35;0;4;"This is infuriating me but thats what truth does opens your #whitehistorylies";;;#whitehistorylies;"782635208424067072";https://twitter.com/yolandaisawake/status/782635208424067072
yolandaisawake;2016-10-02 16:09;2;1;"@OhioNewsdaily What makes a being terrify & harass cause fear & trauma 4fun? Who does that?";;@OhioNewsdaily;;"782613500719804417";https://twitter.com/yolandaisawake/status/782613500719804417
yolandaisawake;2016-10-02 16:06;1;1;"This is what my only white friend left said & I was truly grateful";;;;"782612776069980161";https://twitter.com/yolandaisawake/status/782612776069980161
