username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
yuri73204;2017-11-03 15:07;0;0;"хватит и вздоха...";;;;"926465913540546561";https://twitter.com/yuri73204/status/926465913540546561
yuri73204;2017-11-03 06:28;0;0;"а Гебельс чистокровный немец?";;;;"926335338058080256";https://twitter.com/yuri73204/status/926335338058080256
yuri73204;2017-11-03 06:07;0;1;"Тогда все мощи Святых тоже закопать...чё это верующие ходят к ним поклоняться";;;;"926329991058591745";https://twitter.com/yuri73204/status/926329991058591745
yuri73204;2017-10-31 17:22;0;1;"не надейтесь, не посадят....это же символ ельцынизма";;;;"925412775005913089";https://twitter.com/yuri73204/status/925412775005913089
yuri73204;2017-10-31 17:18;0;0;"в Сталинграде есть самая длинная улица...её "брали" два года";;;;"925411715440893952";https://twitter.com/yuri73204/status/925411715440893952
yuri73204;2017-10-31 17:15;1;3;"как там у Высоцкого?...жираф большой, ему видней...так вот нахуй эта стена плача и памятник соЛЖЕницину-Иуде?";;;;"925410960030011392";https://twitter.com/yuri73204/status/925410960030011392
yuri73204;2017-10-31 17:04;0;0;"Фейгин лучший..Фейгин рулит";;;;"925408234931937285";https://twitter.com/yuri73204/status/925408234931937285
yuri73204;2017-10-31 17:03;0;0;"если вопрос на вопрос то и диалога не будет";;;;"925407797298286593";https://twitter.com/yuri73204/status/925407797298286593
yuri73204;2017-10-31 17:00;0;0;"тюю! шоб ты мени показав ковбасу чи сало";;;;"925407183772225536";https://twitter.com/yuri73204/status/925407183772225536
yuri73204;2017-10-31 16:57;0;0;"вот скажи мне Костя!.Ленин пил в шалаше?";;;;"925406372929396736";https://twitter.com/yuri73204/status/925406372929396736
yuri73204;2017-10-31 16:54;0;0;"фу как не культурно!...надо писать мне до пиз*ды";;;;"925405724993359872";https://twitter.com/yuri73204/status/925405724993359872
yuri73204;2017-10-31 16:44;0;0;"Абдулу взяли!...товарищ Сухов, мне бы личико глянуть А то вдруг кокодайлБлять";;;;"925403111916699648";https://twitter.com/yuri73204/status/925403111916699648
yuri73204;2017-10-31 16:39;0;0;"слышь! косоглазый?...ты от кудва?...сУрала?...так нету тама мгимо а есть тока Новсибин...там и ростют говно";;;;"925401886819221506";https://twitter.com/yuri73204/status/925401886819221506
yuri73204;2017-10-31 16:34;1;0;"низкий поклон всем народам !!!...особое спасибо Монголии,она поставила товаров больше чем "союзнички" в пять раз, а население было 800 000";;;;"925400523167223808";https://twitter.com/yuri73204/status/925400523167223808
yuri73204;2017-10-31 16:26;0;0;"pic.twitter.com/M2Cl40mQQh";;;;"925398480897658881";https://twitter.com/yuri73204/status/925398480897658881
yuri73204;2017-10-31 16:15;0;0;"Путин сам лично наградил...не какой нибудь медвежонок а самолично";;;;"925395801018458112";https://twitter.com/yuri73204/status/925395801018458112
yuri73204;2017-10-31 16:13;1;1;"нет в России семьи такой..... гдеб не паметен был свой герой.... простите,Я плачу";;;;"925395191158263808";https://twitter.com/yuri73204/status/925395191158263808
yuri73204;2017-10-31 16:08;0;1;"воровка на доверии...она же клара фолценгнобер, онаже антонина паният";;;;"925394136118775808";https://twitter.com/yuri73204/status/925394136118775808
yuri73204;2017-10-31 16:04;0;3;"это те самые пленные какие хотели из еврейской кожи делать абажуры?";;;;"925393061970087941";https://twitter.com/yuri73204/status/925393061970087941
yuri73204;2017-10-31 16:02;0;1;"А ленинградцы пухнут от голода....обидно";;;;"925392426562473984";https://twitter.com/yuri73204/status/925392426562473984
