username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BWRkm;2017-11-03 23:52;0;0;"Check the calendar. Today's Pep Rally was at the Kings Mills location and will be at Kings Mills the next two weeks.";;;;"926598077313617920";https://twitter.com/BWRkm/status/926598077313617920
BWRkm;2017-11-03 20:39;0;0;"pic.twitter.com/lJt9uIan2k";;;;"926549485370728448";https://twitter.com/BWRkm/status/926549485370728448
BWRkm;2017-11-03 20:39;0;0;"@BWRkm welcomes @joshuamalone03 @wayneboxmiller and Lap to @Bengals Pep Rally!! #WhoDey #KingsMills";;@BWRkm @joshuamalone03 @wayneboxmiller @Bengals;#WhoDey #KingsMills;"926549332714717185";https://twitter.com/BWRkm/status/926549332714717185
BWRkm;2017-11-03 17:50;0;0;"You are the man! Thanks Box!!";;;;"926506860798193665";https://twitter.com/BWRkm/status/926506860798193665
BWRkm;2017-11-01 16:23;1;2;"Come join us Friday @Bengals Pep Rally's @BWRkm Kings Mills location from 3-6pm @Dan_Hoard and Lap will be joined by rookie @joshuamalone03";;@Bengals @BWRkm @Dan_Hoard @joshuamalone03;;"925760173452464129";https://twitter.com/BWRkm/status/925760173452464129
BWRkm;2017-10-30 20:11;4;11;"Thank you Men of Pillar House. @MoellerHS should be proud of how you conducted yourself today. #FirstClass #MenofMoeller";;@MoellerHS;#FirstClass #MenofMoeller;"925092832792195073";https://twitter.com/BWRkm/status/925092832792195073
BWRkm;2017-10-30 15:31;8;30;"Getting ready to feed the @LetsGoBigMoe the Men of Pillar House @BWRkm #HouseDay #WingDay pic.twitter.com/vshNeCI82v";;@LetsGoBigMoe @BWRkm;#HouseDay #WingDay;"925022359207206912";https://twitter.com/BWRkm/status/925022359207206912
BWRkm;2017-10-28 16:48;1;1;"#2 vs #6 and the #1 place for wings. Come early and stay late for the 3:30pm kickoff @BWRkm #GoBucks #PSUvsOSU";;@BWRkm;#2 #6 #1 #GoBucks #PSUvsOSU;"924316960623661056";https://twitter.com/BWRkm/status/924316960623661056
BWRkm;2017-10-27 21:30;1;0;"Great pep rally Dan & Lap. See you at @BWRkm (Kings Mills) location the next three weeks and then (Liberty Way) the following two weeks.";;@BWRkm;;"924025463281979394";https://twitter.com/BWRkm/status/924025463281979394
BWRkm;2017-10-27 21:21;0;0;"Come out to BWR Liberty Way before or after the cross I-75 shootout between @hawksfootball12 and @MasonCometsFB #Rivals #BestWings";;@hawksfootball12 @MasonCometsFB;#Rivals #BestWings;"924023327437574144";https://twitter.com/BWRkm/status/924023327437574144
BWRkm;2017-10-27 17:44;0;2;"Don't miss the last weekend of the #KIHaunt @KingsIslandPR and don't miss a great meal @BWRkm the closet restaurant outside the park. pic.twitter.com/Mr9DBUgrvf";;@KingsIslandPR @BWRkm;#KIHaunt;"923968641959452672";https://twitter.com/BWRkm/status/923968641959452672
BWRkm;2017-10-25 19:13;1;4;"Congrats Alex and Max!!";;;;"923266167493586944";https://twitter.com/BWRkm/status/923266167493586944
BWRkm;2017-10-22 14:22;0;1;"Are you ready for today's AFC North battle? We are, come join us @BWRkm for the 4:25pm kickoff. #BengalsvsSteelers pic.twitter.com/pMWAJLKKtG";;@BWRkm;#BengalsvsSteelers;"922105848578609152";https://twitter.com/BWRkm/status/922105848578609152
BWRkm;2017-10-21 19:59;0;1;"Going to the #KIHAUNT @KingsIslandPR ? Stop by @BWRkm the closet restaurant for a great meal before or after the haunt. pic.twitter.com/etG2P0H6NV";;@KingsIslandPR @BWRkm;#KIHAUNT;"921828401966612480";https://twitter.com/BWRkm/status/921828401966612480
BWRkm;2017-10-13 21:04;0;2;"After the big game between @hawksfootball12 and @HHSBigBlueAD stop by BWR Liberty Way for a great meal. #GMCSPORTS";;@hawksfootball12 @HHSBigBlueAD;#GMCSPORTS;"918945507938045952";https://twitter.com/BWRkm/status/918945507938045952
BWRkm;2017-10-13 20:49;0;2;"Are you going to the Halloween Haunt on Friday the 13th? Stop by and enjoy a great meal @BWRkm , the closest restaurant to @KingsIslandPR !! pic.twitter.com/RI4PoBCpye";;@BWRkm @KingsIslandPR;;"918941813490274304";https://twitter.com/BWRkm/status/918941813490274304
BWRkm;2017-10-13 18:03;2;5;"After senior night, stop by @BWRkm for a great meal with great friends. Congratulations to all the seniors!";;@BWRkm;;"918900034556563458";https://twitter.com/BWRkm/status/918900034556563458
BWRkm;2017-09-30 22:08;1;1;"After enjoying #HalloweenHaunt @KingsIslandPR stop by @BWRkm for a great meal. Come on in to relax and calm your nerves with some wings. pic.twitter.com/FgtkCTqpkc";;@KingsIslandPR @BWRkm;#HalloweenHaunt;"914250546751647745";https://twitter.com/BWRkm/status/914250546751647745
BWRkm;2017-09-29 18:29;0;1;"Come out to @BWRkm before or after the homecoming game for a great meal. @KFBknights take down Turpin! #homecoming";;@BWRkm @KFBknights;#homecoming;"913833066942132224";https://twitter.com/BWRkm/status/913833066942132224
BWRkm;2017-09-29 18:24;0;1;"After Friday night's big game between @hawksfootball12 and @LWHSFootball stop by BWR Liberty Way for a great meal. #RivalryWeek";;@hawksfootball12 @LWHSFootball;#RivalryWeek;"913831793505292288";https://twitter.com/BWRkm/status/913831793505292288
