username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BeaufortHVAC;2017-11-03 23:52;2;2;"How do you care for your lawn after aeration and seeding? @CanopyLawnCare 's list of follow up care tips may help! https:// buff.ly/2A8cj4w pic.twitter.com/02eSCDM26J";;@CanopyLawnCare;;"926597867644518400";https://twitter.com/BeaufortHVAC/status/926597867644518400
BeaufortHVAC;2017-11-03 21:02;0;2;"Android #IoT : How to Solve Your Problems with #Android Studio: https:// buff.ly/2A82KT8 by @RedPixie pic.twitter.com/hGyXVntk1J";;@RedPixie;#IoT #Android;"926555098863624192";https://twitter.com/BeaufortHVAC/status/926555098863624192
BeaufortHVAC;2017-11-03 17:52;0;2;"Replace your ugly doorbell! - @uglyducklingDIY #DIY #homeimprovement https:// buff.ly/2xMjTjY pic.twitter.com/r0XdgyXulZ";;@uglyducklingDIY;#DIY #homeimprovement;"926507278534094848";https://twitter.com/BeaufortHVAC/status/926507278534094848
BeaufortHVAC;2017-11-03 16:13;0;3;"Did you know that your #HVAC system will last from 12-15 years if properly installed and maintained? #nowyouknow https:// buff.ly/2yYE2qB pic.twitter.com/7nPuyrSz91";;;#HVAC #nowyouknow;"926482378675183616";https://twitter.com/BeaufortHVAC/status/926482378675183616
BeaufortHVAC;2017-11-03 13:06;0;1;"How to Build a Concrete Pond - @MotherEarthNews https:// buff.ly/2xMNIAV #garden pic.twitter.com/OiidgYT5Qh";;@MotherEarthNews;#garden;"926435301425377282";https://twitter.com/BeaufortHVAC/status/926435301425377282
BeaufortHVAC;2017-11-03 03:08;0;0;"We service all brands of #HVAC units. Click the link to check out our favorites and find out why TODAY! https:// buff.ly/2xDEarO";;;#HVAC;"926284807528701952";https://twitter.com/BeaufortHVAC/status/926284807528701952
BeaufortHVAC;2017-11-02 23:52;0;0;"Microsoft #Azure IoT Suite: How to Build Scalable Solutions https:// buff.ly/2A4uTdZ via @RedPixie #IoT pic.twitter.com/xPZkBHNgbM";;@RedPixie;#Azure #IoT;"926235494933032965";https://twitter.com/BeaufortHVAC/status/926235494933032965
BeaufortHVAC;2017-11-02 21:02;0;0;"Fabulous Fireplace Face-Lifts That Won't Burn Through Your Wallet - @realtordotcom https:// buff.ly/2z37onH pic.twitter.com/ZOotxgpy1j";;@realtordotcom;;"926192783207124993";https://twitter.com/BeaufortHVAC/status/926192783207124993
BeaufortHVAC;2017-11-02 17:52;0;0;"What to do when internet outages ruin your cool smart home https:// buff.ly/2xI0tfX via @Mashable #IoT";;@Mashable;#IoT;"926144880568659969";https://twitter.com/BeaufortHVAC/status/926144880568659969
BeaufortHVAC;2017-11-02 13:06;0;0;"Guide to #window insulation solutions - Better Windows https:// buff.ly/2xHYkkj #Home pic.twitter.com/ffGFxDCLKm";;;#window #Home;"926072917770866688";https://twitter.com/BeaufortHVAC/status/926072917770866688
BeaufortHVAC;2017-11-01 23:52;0;3;"Keep your wooden floors looking beautiful forever #DIY https:// buff.ly/2yljCbR via @charles_hudson pic.twitter.com/SL66SUqXTn";;@charles_hudson;#DIY;"925873129922195457";https://twitter.com/BeaufortHVAC/status/925873129922195457
