username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CaleighMiller;2017-11-03 23:48;0;0;"I am super proud of myself and incredibly grateful. Even though I woke up tired and in a lot of… https://www. instagram.com/p/BbDVWIkjRST/";;;;"926596912660336640";https://twitter.com/CaleighMiller/status/926596912660336640
CaleighMiller;2017-11-03 23:39;0;1;"Gosh... my Porg is hilariously adorable. :) @starwars #starwars #porg #hilarious #cute #adorable … https://www. instagram.com/p/BbDUMK2jbVA/";;@starwars;#starwars #porg #hilarious #cute #adorable;"926594645705990144";https://twitter.com/CaleighMiller/status/926594645705990144
CaleighMiller;2017-11-03 23:32;0;0;"And I got these incredibly soft cat pants. I am in love. :) #pajamas #soft #cats #ilovecats … https://www. instagram.com/p/BbDThLZDfST/";;;#pajamas #soft #cats #ilovecats;"926592897973145600";https://twitter.com/CaleighMiller/status/926592897973145600
CaleighMiller;2017-11-03 23:28;0;0;"My goodness.. I am super in love with my new super soft and cozy and adorable pink lamb and… https://www. instagram.com/p/BbDTFzyjF8A/";;;;"926591959581339648";https://twitter.com/CaleighMiller/status/926591959581339648
CaleighMiller;2017-11-03 23:25;0;0;"Awww!!! And I got the @starwars Porg @worldofvinyls . Yes, I love Porgs. :) #starwars #porg … https://www. instagram.com/p/BbDSvg7D65N/";;@starwars @worldofvinyls;#starwars #porg;"926591190849507329";https://twitter.com/CaleighMiller/status/926591190849507329
CaleighMiller;2017-11-03 23:17;0;0;"My goodness!!! I got the walking and talking @starwars Porg today. He is so darn adorable!!! And… https://www. instagram.com/p/BbDR16wDqZs/";;@starwars;;"926589206742388737";https://twitter.com/CaleighMiller/status/926589206742388737
CaleighMiller;2017-11-03 20:04;0;0;"I liked a @YouTube video http:// youtu.be/V54CEElTF_U?a Taylor Swift - Call It What You Want (Lyric Video)";;@YouTube;;"926540593467215873";https://twitter.com/CaleighMiller/status/926540593467215873
CaleighMiller;2017-11-03 15:49;0;0;"Happy Friday!!! The last 24 hours have been excruciatingly painful and rough. My IBS was so bad… https://www. instagram.com/p/BbCegVFDGI6/";;;;"926476321168830464";https://twitter.com/CaleighMiller/status/926476321168830464
CaleighMiller;2017-11-02 15:43;0;0;"My goodness. Ruby looks so adorably plump when she’s held. She’s hilariously adorable!!! :)… https://www. instagram.com/p/Ba_5HFpDyG1/";;;;"926112612777185281";https://twitter.com/CaleighMiller/status/926112612777185281
CaleighMiller;2017-11-01 23:26;0;0;"Yay!!! I got a new Olaf Beanie Baby today. He’s holding a heart. He’s adorable!!! :)… https://www. instagram.com/p/Ba-JTvZjuND/";;;;"925866757969104896";https://twitter.com/CaleighMiller/status/925866757969104896
CaleighMiller;2017-11-01 15:47;0;1;"Happy Wednesday!!! This #wednesdaywisdom quote is perfect for me. I pray to God multiple times a… https://www. instagram.com/p/Ba9UjIIjGae/";;;#wednesdaywisdom;"925751106034167809";https://twitter.com/CaleighMiller/status/925751106034167809
CaleighMiller;2017-10-31 21:35;0;0;"Yay!!! Thank you!!! :) https:// twitter.com/careandwear/st atus/925473238062370816 …";;;;"925476359236980737";https://twitter.com/CaleighMiller/status/925476359236980737
CaleighMiller;2017-10-31 15:43;0;0;"Happy Tuesday!!! Lately my IBS has been really bothering me. I hurt so bad no matter what I do.… https://www. instagram.com/p/Ba6veS5DCou/";;;;"925387730346844162";https://twitter.com/CaleighMiller/status/925387730346844162
CaleighMiller;2017-10-30 23:35;0;2;"Hi, @CareandWear ! I need to order a larger PICC line cover. I want a pink one. I see it’s on sale. How long will it be on sale for? :)";;@CareandWear;;"925144232855252993";https://twitter.com/CaleighMiller/status/925144232855252993
CaleighMiller;2017-10-30 18:42;0;0;"Great! Thank you!!! :)";;;;"925070301578387458";https://twitter.com/CaleighMiller/status/925070301578387458
CaleighMiller;2017-10-30 16:03;0;0;"Happy Monday!!! This is a great #mondaymotivation quote for me. I’m very annoyed that my IBS has… https://www. instagram.com/p/Ba4M-XjjBx8/";;;#mondaymotivation;"925030517916844033";https://twitter.com/CaleighMiller/status/925030517916844033
CaleighMiller;2017-10-29 23:26;0;0;"Elisabeth (Lizzie) Moss giving the camera the middle finger is life. She is literally… https://www. instagram.com/p/Ba2a3ZoDJ83/";;;;"924779467288932352";https://twitter.com/CaleighMiller/status/924779467288932352
CaleighMiller;2017-10-29 15:54;0;0;"Happy #spiritualsunday !!! I’m sad and annoyed today. I woke up and I felt pretty relaxed and… https://www. instagram.com/p/Ba1nHZkjgYh/";;;#spiritualsunday;"924665654506082306";https://twitter.com/CaleighMiller/status/924665654506082306
CaleighMiller;2017-10-29 09:57;0;1;"I sent you a birthday tweet. I hope you had a great day!!!";;;;"924575878704762880";https://twitter.com/CaleighMiller/status/924575878704762880
CaleighMiller;2017-10-28 23:50;0;1;"Jinx is so darn comfy. :) #cats #ilovecats #kittens #ilovekittens #catsofinstagram … https://www. instagram.com/p/Baz42YIjn4x/";;;#cats #ilovecats #kittens #ilovekittens #catsofinstagram;"924423179652694016";https://twitter.com/CaleighMiller/status/924423179652694016
CaleighMiller;2017-10-28 23:48;0;0;"I may be 20 but I love Peppa Pig. I got a Peppa DVD that came with an adorable plush Peppa!!! :)… https://www. instagram.com/p/Baz4lzSjutO/";;;;"924422615212658688";https://twitter.com/CaleighMiller/status/924422615212658688
CaleighMiller;2017-10-28 23:31;1;0;"Yay!!! I got a 2017 Christmas teddy bear wearing a pink sparkly dress. I’m a happy girl!!! :)… https://www. instagram.com/p/Baz2qwHjV1e/";;;;"924418410024488960";https://twitter.com/CaleighMiller/status/924418410024488960
CaleighMiller;2017-10-28 23:24;0;1;"Chloe is so photogenic. Happy #caturday !!! :) #cats #ilovecats #catsofinstagram #calico #adorable https://www. jiyo.com/activity/29085 41 …";;;#caturday #cats #ilovecats #catsofinstagram #calico #adorable;"924416694004731905";https://twitter.com/CaleighMiller/status/924416694004731905
CaleighMiller;2017-10-28 23:23;0;1;"Chloe is so photogenic. Happy #caturday !!! :) #cats #ilovecats #catsofinstagram #calico … https://www. instagram.com/p/Baz1zM3DD8B/";;;#caturday #cats #ilovecats #catsofinstagram #calico;"924416475179315201";https://twitter.com/CaleighMiller/status/924416475179315201
CaleighMiller;2017-10-28 23:21;0;0;"Chloe is really happy with my blanket as well. She’s constantly kneading it. Awww, Chloe. :)… https://www. instagram.com/p/Baz1dv0jRHR/";;;;"924415741453131776";https://twitter.com/CaleighMiller/status/924415741453131776
CaleighMiller;2017-10-28 22:12;0;0;"Misty likes my blankets too! I need to get my 12 cats their own baby blankets. :) #cats … https://www. instagram.com/p/BaztnKCDGeu/";;;#cats;"924398472886759424";https://twitter.com/CaleighMiller/status/924398472886759424
CaleighMiller;2017-10-28 15:23;0;0;"Happy birthday @lovegwendoline !!! You are so talented and inspiring and amazing. I hope you have a perfect day!!! pic.twitter.com/fmQnvbxDiE";;@lovegwendoline;;"924295462932369408";https://twitter.com/CaleighMiller/status/924295462932369408
CaleighMiller;2017-10-28 15:21;0;0;"Yay!!! Where can I get it? :)";;;;"924295118202523648";https://twitter.com/CaleighMiller/status/924295118202523648
CaleighMiller;2017-10-28 15:19;0;0;"Yay!!! Happy birthday to one of my favorite people in the whole world, Gwendoline Christie!!!… https://www. instagram.com/p/Bay-X6gDUwj/";;;;"924294593939521537";https://twitter.com/CaleighMiller/status/924294593939521537
CaleighMiller;2017-10-27 23:50;0;0;"Jinx is getting comfy on my weighted blanket. He’s been sleeping on it all night. First he’s… https://www. instagram.com/p/BaxUAv3DCPG/";;;;"924060883893940225";https://twitter.com/CaleighMiller/status/924060883893940225
CaleighMiller;2017-10-27 23:38;0;0;"I’m having a rough IBS day today. I’m crampy and have acid reflux. Tonight I’m relaxing with my… https://www. instagram.com/p/BaxSqjfDFz2/";;;;"924057750031581185";https://twitter.com/CaleighMiller/status/924057750031581185
CaleighMiller;2017-10-27 16:43;0;0;"Happy Friday!!! I’m super happy and relieved that this week is almost over. It has been one of… https://www. instagram.com/p/BawjK3eD106/";;;;"923953306766000133";https://twitter.com/CaleighMiller/status/923953306766000133
CaleighMiller;2017-10-26 23:32;0;0;"Yay!!! I got an elf headband today. I’m Santa’s Little Helper. I’m already in the Christmas… https://www. instagram.com/p/BautN0aDjDg/";;;;"923693906037899264";https://twitter.com/CaleighMiller/status/923693906037899264
CaleighMiller;2017-10-26 20:12;0;0;"Happy Thursday and happy #thankfulthursday !!! I am so incredibly thankful and grateful to God… https://www. instagram.com/p/BauWJNHjJ6v/";;;#thankfulthursday;"923643473399398400";https://twitter.com/CaleighMiller/status/923643473399398400
CaleighMiller;2017-10-25 23:23;0;0;"I’m still feeling very stressed and depressed today. All the boo boos on my arm and hand hurt.… https://www. instagram.com/p/BasHUl_DbxR/";;;;"923329107101962240";https://twitter.com/CaleighMiller/status/923329107101962240
CaleighMiller;2017-10-25 15:55;0;0;"Happy Wednesday!!! After several scary, stressful, painful, traumatizing, and chaotic days I am… https://www. instagram.com/p/BarUC_zD0EY/";;;;"923216353296654336";https://twitter.com/CaleighMiller/status/923216353296654336
CaleighMiller;2017-10-24 23:44;0;0;"I have really been in love with this song today. It’s so soothing. :) #safeandsound … https://www. instagram.com/p/Bapk2FxD7s3/";;;#safeandsound;"922972012842119169";https://twitter.com/CaleighMiller/status/922972012842119169
CaleighMiller;2017-10-24 23:20;0;0;"My goodness..Jinx is my sweet little angel. He looks like such a precious, happy baby. :) #cats … https://www. instagram.com/p/BapiOGCjLP3/";;;#cats;"922966060776808448";https://twitter.com/CaleighMiller/status/922966060776808448
CaleighMiller;2017-10-24 23:03;0;0;"Jinx is going to be my cuddle buddy for the night. I think he knows I’m stressed and depressed.… https://www. instagram.com/p/BapgTHUDL14/";;;;"922961819118866434";https://twitter.com/CaleighMiller/status/922961819118866434
CaleighMiller;2017-10-24 17:15;0;0;"My pudgy mama Sophie is trying to make me feel better. Why thank you, Sophie. :) #cats … https://www. instagram.com/p/Bao4ei5j6pW/";;;#cats;"922874255460786176";https://twitter.com/CaleighMiller/status/922874255460786176
CaleighMiller;2017-10-24 16:42;0;0;"Hi, everyone!!! Today the stress in my house is at the highest it’s been in a while. It’s always… https://www. instagram.com/p/Bao0uOLDi9p/";;;;"922865996288929793";https://twitter.com/CaleighMiller/status/922865996288929793
CaleighMiller;2017-10-23 17:49;0;0;"Happy Monday!!! I love this #mondaymotivation quote. I’m so happy the crazy, stressful weekend… https://www. instagram.com/p/BamXkLpj0uc/";;;#mondaymotivation;"922520402743758850";https://twitter.com/CaleighMiller/status/922520402743758850
CaleighMiller;2017-10-22 22:00;0;0;"I am really loving this song today. “Cry Out To Jesus” by Third Day. They’re a Christian band… https://www. instagram.com/p/BakPZ-cDDsn/";;;;"922221034169757696";https://twitter.com/CaleighMiller/status/922221034169757696
CaleighMiller;2017-10-22 21:48;0;0;"Today has been so stressful I’m glad I can finally chill.";;;;"922218100971507712";https://twitter.com/CaleighMiller/status/922218100971507712
CaleighMiller;2017-10-22 16:40;0;0;"I’m in the mood to listen to @Sia songs today. This one seems appropriate for me today. #sunday … https://www. instagram.com/p/BajqzgxDPIT/";;@Sia;#sunday;"922140497447186433";https://twitter.com/CaleighMiller/status/922140497447186433
CaleighMiller;2017-10-22 15:42;0;0;"Happy Sunday and happy #spiritualsunday !!! Today I am feeling really stressed and depressed and… https://www. instagram.com/p/BajkOj8jD22/";;;#spiritualsunday;"922126034685788160";https://twitter.com/CaleighMiller/status/922126034685788160
CaleighMiller;2017-10-21 23:54;0;0;"Finally the leaves are starting to turn on the mountain!!! It’s looking pretty!!! Can’t wait for… https://www. instagram.com/p/Bah3rJnDM-F/";;;;"921887326418145281";https://twitter.com/CaleighMiller/status/921887326418145281
CaleighMiller;2017-10-21 15:48;0;0;"Today I’m feeling kind of down and stressed. My family is going through a difficult time… https://www. instagram.com/p/BahAHohDXu_/";;;;"921765162503294977";https://twitter.com/CaleighMiller/status/921765162503294977
CaleighMiller;2017-10-21 15:17;0;1;"An up-close shot of Cookie. He says happy #caturday !!! :) #cats #ilovecats #catsofinstagram … https://www. instagram.com/p/Bag8kpBDcFM/";;;#caturday #cats #ilovecats #catsofinstagram;"921757356182007808";https://twitter.com/CaleighMiller/status/921757356182007808
CaleighMiller;2017-10-20 21:25;0;0;"Yesss. These are definitely my favorite lyrics from taylorswift’s new song, “Gorgeous.” Any time… https://www. instagram.com/p/BafB1wLj7W8/";;;;"921487479051612161";https://twitter.com/CaleighMiller/status/921487479051612161
CaleighMiller;2017-10-20 16:10;0;0;"Happy Friday!!! I’m super incredibly grateful that I don’t feel super bad today. I’m so… https://www. instagram.com/p/Baed0VODgfI/";;;;"921408259185106946";https://twitter.com/CaleighMiller/status/921408259185106946
CaleighMiller;2017-10-19 21:45;0;0;"And I got the official #captainphasma @starwars book!!! Captain Phasma slays. Super excited and… https://www. instagram.com/p/BacfUQgDEXl/";;@starwars;#captainphasma;"921130083020148743";https://twitter.com/CaleighMiller/status/921130083020148743
CaleighMiller;2017-10-19 20:17;0;4;"Yesss!!! I got a #CaptainPhasma @starwars mask today. I’m super happy. Captain Phasma is my favorite Star Wars character!!! @lovegwendoline pic.twitter.com/VAF7N68075";;@starwars @lovegwendoline;#CaptainPhasma;"921107969026256897";https://twitter.com/CaleighMiller/status/921107969026256897
CaleighMiller;2017-10-19 20:14;0;0;"Yesss!!! I got a #captainphasma @starwars mask today and I am happy. Super excited… https://www. instagram.com/p/BacU6tZjhvh/";;@starwars;#captainphasma;"921107297010618368";https://twitter.com/CaleighMiller/status/921107297010618368
