username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DontGoBacon;2017-11-03 23:43;1;1;"@CupcakKe_rapper I'm so sorry on behalf of the racist ARMYs, there is no excuse for racism and anti-blackness #cupcakke";;@CupcakKe_rapper;#cupcakke;"926595736938209281";https://twitter.com/DontGoBacon/status/926595736938209281
DontGoBacon;2017-10-08 03:59;0;0;"@MostRequestLive I REQUEST BTS DNA #MostRequestedLive #BTSonMRL @OnAirRomeo";;@MostRequestLive @OnAirRomeo;#MostRequestedLive #BTSonMRL;"916875698547183616";https://twitter.com/DontGoBacon/status/916875698547183616
DontGoBacon;2017-10-08 03:57;0;0;"@MostRequestLive I REQUEST BTS FOR #1, PLAY DNA #MostRequestedLive @OnAirRomeo #BTSonMRL #MostRequestLive #dna pic.twitter.com/DGiQyu2fbv";;@MostRequestLive @OnAirRomeo;#1 #MostRequestedLive #BTSonMRL #MostRequestLive #dna;"916875229380730880";https://twitter.com/DontGoBacon/status/916875229380730880
DontGoBacon;2017-10-08 03:56;0;0;"@MostRequestLive BTS FOR THE WIN, PLAY DNA AGAIN @OnAirRomeo #MostRequestedLive #BTSonMRL for Asian representation pic.twitter.com/khHuMixglg";;@MostRequestLive @OnAirRomeo;#MostRequestedLive #BTSonMRL;"916874975881068544";https://twitter.com/DontGoBacon/status/916874975881068544
DontGoBacon;2017-10-08 03:53;0;0;"@MostRequestLive I REQUEST BTS FOR #1 SONG, PLAY DNA #MostRequestedLive #BTSonMRL @OnAirRomeo #RomeoPlayDNA #BTS <3 pic.twitter.com/QeSnsT0HAe";;@MostRequestLive @OnAirRomeo;#1 #MostRequestedLive #BTSonMRL #RomeoPlayDNA #BTS;"916874266645233664";https://twitter.com/DontGoBacon/status/916874266645233664
DontGoBacon;2017-10-08 03:51;0;0;"@MostRequestLive PLEASE MAKE THIS HAPPEN 4 ASIAN REPRESENTATION, PLAY DNA #MostRequestedLive #RomeoPlayDNA #BTSonMRL pic.twitter.com/keINM4Ydcp";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #BTSonMRL;"916873712351285248";https://twitter.com/DontGoBacon/status/916873712351285248
DontGoBacon;2017-10-08 03:49;0;0;"@MostRequestLive I NEED MORE KPOP, PLAY BTS DNA AGAIN #MostRequestedLive #RomeoPlayDNA @OnAirRomeo #BTSonMRL #BTS <3 pic.twitter.com/qkQwJEXwCE";;@MostRequestLive @OnAirRomeo;#MostRequestedLive #RomeoPlayDNA #BTSonMRL #BTS;"916873108094627840";https://twitter.com/DontGoBacon/status/916873108094627840
DontGoBacon;2017-10-08 03:47;0;0;"@MostRequestLive I WANT TO HEAR BTS DNA AGAIN #MostRequestedLive #RomeoPlayDNA #BTSonMRL @OnAirRomeo for Asian rep <3 pic.twitter.com/FUSlzHskLF";;@MostRequestLive @OnAirRomeo;#MostRequestedLive #RomeoPlayDNA #BTSonMRL;"916872753160097793";https://twitter.com/DontGoBacon/status/916872753160097793
DontGoBacon;2017-10-08 03:46;0;0;"@MostRequestLive FIGHT FOR ASIAN REPRESENTATION, PLAY BTS DNA #MostRequestedLive @OnAirRomeo #RomeoPlayDNA #BTSonMRL <3 pic.twitter.com/t56M2swKsA";;@MostRequestLive @OnAirRomeo;#MostRequestedLive #RomeoPlayDNA #BTSonMRL;"916872295758618627";https://twitter.com/DontGoBacon/status/916872295758618627
DontGoBacon;2017-10-08 03:41;0;0;"@MostRequestLive PLAY THAT SWEET SWEET KPOP, PLAY BTS DNA #MostRequestedLive #RomeoPlayDNA #BTSonMRL @OnAirRomeo <3 pic.twitter.com/ygubMfsdcB";;@MostRequestLive @OnAirRomeo;#MostRequestedLive #RomeoPlayDNA #BTSonMRL;"916871216413265921";https://twitter.com/DontGoBacon/status/916871216413265921
DontGoBacon;2017-10-08 03:40;0;0;"@MostRequestLive BRING ASIAN MUSIC TO US RADIO, PLAY DNA AGAIN @OnAirRomeo #MostRequestedLive #RomeoPlayDNA #BTSonMRL pic.twitter.com/1aFusjzHYu";;@MostRequestLive @OnAirRomeo;#MostRequestedLive #RomeoPlayDNA #BTSonMRL;"916870907817349121";https://twitter.com/DontGoBacon/status/916870907817349121
DontGoBacon;2017-10-08 03:39;0;0;"@MostRequestLive Please play BTS DNA again <3 #MostRequestedLive @OnAirRomeo #RomeoPlayDNA #BTSonMRL";;@MostRequestLive @OnAirRomeo;#MostRequestedLive #RomeoPlayDNA #BTSonMRL;"916870564249260033";https://twitter.com/DontGoBacon/status/916870564249260033
DontGoBacon;2017-10-08 03:38;0;0;"@MostRequestLive PLAY THAT FUNKY ASIAN MUSIC AGAIN, DNA AGAIN #MostRequestedLive @OnAirRomeo #RomeoPlayDNA #BTSonMRL pic.twitter.com/B1kLXpsnzO";;@MostRequestLive @OnAirRomeo;#MostRequestedLive #RomeoPlayDNA #BTSonMRL;"916870305053925376";https://twitter.com/DontGoBacon/status/916870305053925376
DontGoBacon;2017-10-08 03:36;0;0;"@MostRequestLive PLAY THAT EPIC KPOP, PLAY DNA AGAIN @OnAirRomeo #MostRequestedLive #RomeoPlayDNA #bts for Asian rep pic.twitter.com/YulktbCbiL";;@MostRequestLive @OnAirRomeo;#MostRequestedLive #RomeoPlayDNA #bts;"916869798738481153";https://twitter.com/DontGoBacon/status/916869798738481153
DontGoBacon;2017-10-08 03:33;0;0;"@MostRequestLive PLAY THAT GOOD KPOP, PLAY DNA AGAIN #MostRequestedLive #RomeoPlayDNA #bts for Asian rep in US radio pic.twitter.com/BBywcLW3ce";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #bts;"916869176312188928";https://twitter.com/DontGoBacon/status/916869176312188928
DontGoBacon;2017-10-08 03:31;0;0;"@MostRequestLive LETS BREAK THAT RECORD FOR ASIANS GETTING 1ST, PLAY DNA AGAIN #MostRequestedLive #RomeoPlayDNA #bts pic.twitter.com/YWm5kDShvh";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #bts;"916868572516966401";https://twitter.com/DontGoBacon/status/916868572516966401
DontGoBacon;2017-10-08 03:29;0;0;"@MostRequestLive DNA FOR THE WIN, PLAY IT AGAIN #MostRequestedLive #RomeoPlayDNA #bts for Asian representation <3 pic.twitter.com/gW67DjqrJ8";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #bts;"916868092956958720";https://twitter.com/DontGoBacon/status/916868092956958720
DontGoBacon;2017-10-08 03:27;0;1;"@MostRequestLive LETS MAKE BTS THE FIRST, BREAK RECORDS FOR ASIANS #MostRequestedLive #RomeoPlayDNA #bts @bts_bighit pic.twitter.com/TwGkcrRc9i";;@MostRequestLive @bts_bighit;#MostRequestedLive #RomeoPlayDNA #bts;"916867590848438273";https://twitter.com/DontGoBacon/status/916867590848438273
DontGoBacon;2017-10-08 03:25;0;0;"@MostRequestLive I REQUEST BTS DNA a hundred times over!! <3 #MostRequestedLive #RomeoPlayDNA #bts @bts_bighit pic.twitter.com/XiJM6cIjPu";;@MostRequestLive @bts_bighit;#MostRequestedLive #RomeoPlayDNA #bts;"916867232159944705";https://twitter.com/DontGoBacon/status/916867232159944705
DontGoBacon;2017-10-08 03:19;1;0;"@MostRequestLive PLEASE PLEASE PLAY BTS DNA FOR ASIAN REPRESENTATION #MostRequestedLive #RomeoPlayDNA #bts <3 pic.twitter.com/8gDJYstAFq";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #bts;"916865634654474240";https://twitter.com/DontGoBacon/status/916865634654474240
DontGoBacon;2017-10-08 03:18;0;0;"@MostRequestLive I KNOW Y'ALL WANT TO HEAR BTS DNA AGAIN <3 #MostRequestedLive #RomeoPlayDNA #bts play it again!! pic.twitter.com/0yeKUkXEiE";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #bts;"916865267527049216";https://twitter.com/DontGoBacon/status/916865267527049216
DontGoBacon;2017-10-08 03:16;0;0;"@MostRequestLive PLAY BTS AGAIN PLEASE! I REQUEST BTS DNA #MostRequestedLive #RomeoPlayDNA #bts <3 pic.twitter.com/DoUD7AKp93";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #bts;"916864760271994881";https://twitter.com/DontGoBacon/status/916864760271994881
DontGoBacon;2017-10-08 03:14;1;0;"@MostRequestLive THIS IS SO IMPORTANT FOR ASIAN REPRESENTATION #RomeoPlayDNA #MostRequestedLive PLEASE play BTS DNA pic.twitter.com/pqMxjBkJET";;@MostRequestLive;#RomeoPlayDNA #MostRequestedLive;"916864412706902016";https://twitter.com/DontGoBacon/status/916864412706902016
DontGoBacon;2017-10-08 03:13;0;0;"@MostRequestLive PLEASE PLAY SOME FRESH NEW KPOP TUNES #RomeoPlayDNA #MostRequestedLive PLAY BTS DNA PLEASE<3 pic.twitter.com/B5mbUElGM1";;@MostRequestLive;#RomeoPlayDNA #MostRequestedLive;"916864014797492226";https://twitter.com/DontGoBacon/status/916864014797492226
DontGoBacon;2017-10-08 03:04;0;0;"@MostRequestLive THANK YOU 4 giving BTS that platform #RomeoPlayDNA #MostRequestedLive It means so much for Asian rep pic.twitter.com/dHQN8OpiwW";;@MostRequestLive;#RomeoPlayDNA #MostRequestedLive;"916861847386624000";https://twitter.com/DontGoBacon/status/916861847386624000
DontGoBacon;2017-10-08 03:01;0;0;"@MostRequestLive I REQUEST BTS DNA <3 <3 #MostRequestedLive #RomeoPlayDNA #bts @bts_bighit for Asian representation pic.twitter.com/nZ5ejX4I1B";;@MostRequestLive @bts_bighit;#MostRequestedLive #RomeoPlayDNA #bts;"916861160367980545";https://twitter.com/DontGoBacon/status/916861160367980545
DontGoBacon;2017-10-08 02:59;0;0;"@MostRequestLive HELP BTS BREAK RECORDS FOR ASIANS WORLDWIDE #MostRequestedLive #RomeoPlayDNA #bts @bts_bighit PLEASE pic.twitter.com/wzFJkHpnrr";;@MostRequestLive @bts_bighit;#MostRequestedLive #RomeoPlayDNA #bts;"916860661833060352";https://twitter.com/DontGoBacon/status/916860661833060352
DontGoBacon;2017-10-08 02:57;1;0;"@MostRequestLive HELP BTS BREAK RECORDS FOR ASIANS #RomeoPlayDNA #MostRequestedLive #bts @bts_bighit <3 <3 pic.twitter.com/2KoY9GwlCc";;@MostRequestLive @bts_bighit;#RomeoPlayDNA #MostRequestedLive #bts;"916859978249580545";https://twitter.com/DontGoBacon/status/916859978249580545
DontGoBacon;2017-10-08 02:56;1;0;"@MostRequestLive ARMYs KEEP REQUESTING!! #RomeoPlayDNA #MostRequestedLive PLAY BTS DNA again! <3 <3 #bts @bts_bighit pic.twitter.com/pverQ4bUOl";;@MostRequestLive @bts_bighit;#RomeoPlayDNA #MostRequestedLive #bts;"916859713404522502";https://twitter.com/DontGoBacon/status/916859713404522502
DontGoBacon;2017-10-08 02:54;0;0;"@MostRequestLive PLAY BTS DNA AGAIN Y'ALL #MostRequestedLive #RomeoPlayDNA help Asian representation in the US! #bts <3 pic.twitter.com/xtc0CQrF3y";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #bts;"916859407178313733";https://twitter.com/DontGoBacon/status/916859407178313733
DontGoBacon;2017-10-08 02:53;0;0;"@MostRequestLive PLEASE PLAY BTS DNA again or their other songs #MostRequestedLive #RomeoPlayDNA Mic Drop or Dimple pic.twitter.com/3WaslBsT0G";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA;"916859028336148480";https://twitter.com/DontGoBacon/status/916859028336148480
DontGoBacon;2017-10-08 02:52;0;0;"@MostRequestLive THANK YOU for giving BTS this platform & rep #MostRequestedLive #RomeoPlayDNA PLEASE play it again <3 pic.twitter.com/Y7AwQEKgcG";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA;"916858746919321600";https://twitter.com/DontGoBacon/status/916858746919321600
DontGoBacon;2017-10-08 02:50;0;0;"@MostRequestLive PLEASE help represent Asians in Western media #MostRequestedLive #RomeoPlayDNA #bts #dna <3 <3 pic.twitter.com/0o7qkxYFcD";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #bts #dna;"916858365363580928";https://twitter.com/DontGoBacon/status/916858365363580928
DontGoBacon;2017-10-08 02:48;0;0;"@MostRequestLive Pretty please #RomeoPlayDNA PLAY BTS #MostRequestedLive #bts #dna <3 pic.twitter.com/wIEbZjS8nx";;@MostRequestLive;#RomeoPlayDNA #MostRequestedLive #bts #dna;"916857893529509888";https://twitter.com/DontGoBacon/status/916857893529509888
DontGoBacon;2017-10-08 02:47;0;1;"@MostRequestLive BTS is so important for Asian representation, please #RomeoPlayDNA #MostRequestedLive #bts <3 pic.twitter.com/hKKFipsKHm";;@MostRequestLive;#RomeoPlayDNA #MostRequestedLive #bts;"916857552868118528";https://twitter.com/DontGoBacon/status/916857552868118528
DontGoBacon;2017-10-08 02:45;1;0;"@MostRequestLive PLAY BTS DNA ALL NIGHT BABY #MostRequestedLive #RomeoPlayDNA #bts @bts_bighit #dna <3 pic.twitter.com/B04q7ovqju";;@MostRequestLive @bts_bighit;#MostRequestedLive #RomeoPlayDNA #bts #dna;"916857072448393216";https://twitter.com/DontGoBacon/status/916857072448393216
DontGoBacon;2017-10-08 02:44;0;0;"@MostRequestLive I request BTS DNA for the 11pm rating, please! #MostRequestedLive #RomeoPlayDNA #bts pic.twitter.com/yJwJHWC6Um";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #bts;"916856809847173121";https://twitter.com/DontGoBacon/status/916856809847173121
DontGoBacon;2017-10-08 02:43;0;0;"@MostRequestLive Please help BTS break records for Asians in Western media! #MostRequestedLive #RomeoPlayDNA #bts pic.twitter.com/MVYgjg9UZ9";;@MostRequestLive;#MostRequestedLive #RomeoPlayDNA #bts;"916856449313247233";https://twitter.com/DontGoBacon/status/916856449313247233
DontGoBacon;2017-10-08 02:41;0;0;"@MostRequestLive Please help BTS break records for Asian representation #RomeoPlayDNA #MostRequestedLive @bts_bighit";;@MostRequestLive @bts_bighit;#RomeoPlayDNA #MostRequestedLive;"916856004289159168";https://twitter.com/DontGoBacon/status/916856004289159168
DontGoBacon;2017-10-08 02:38;0;0;"@MostRequestLive Please play BTS DNA again! <3 #MostRequestedLive #RomeoPlayDNA @bts_bighit";;@MostRequestLive @bts_bighit;#MostRequestedLive #RomeoPlayDNA;"916855375437148161";https://twitter.com/DontGoBacon/status/916855375437148161
DontGoBacon;2017-10-08 02:35;0;0;"@MostRequestLive Please help Asian representation in the US and #RomeoPlayDNA #MostRequestedLive @bts_bighit #bts";;@MostRequestLive @bts_bighit;#RomeoPlayDNA #MostRequestedLive #bts;"916854622769287168";https://twitter.com/DontGoBacon/status/916854622769287168
DontGoBacon;2017-10-08 02:32;0;0;"@MostRequestLive #RomeoPlayDNA PLEASE PLAY BTS DNA #MostRequestedLive <3 <3 <3 @bts_bighit @BigHitEnt #bts";;@MostRequestLive @bts_bighit @BigHitEnt;#RomeoPlayDNA #MostRequestedLive #bts;"916853676521742336";https://twitter.com/DontGoBacon/status/916853676521742336
DontGoBacon;2017-10-08 02:30;0;0;"@MostRequestLive I request BTS DNA for the 11pm rating please! #MostRequestedLive #RomeoPlayDNA @bts_bighit";;@MostRequestLive @bts_bighit;#MostRequestedLive #RomeoPlayDNA;"916853356387282944";https://twitter.com/DontGoBacon/status/916853356387282944
