username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JDArtist;2017-11-03 23:49;0;1;"#tRump ’s Twitter Was Deleted and For A Brief 11 Minutes, We Were All Happy Again https:// thenib.com/trump-s-twitte r-was-deleted-and-for-a-brief-11-minutes-we-were-all-happy-again?utm_campaign=web-share-links&utm_medium=social&utm_source=twitter … ( @thenib )";;@thenib;#tRump;"926597250192760833";https://twitter.com/JDArtist/status/926597250192760833
JDArtist;2017-11-03 23:45;0;1;"https:// twitter.com/TheHackersNews /status/925646738827997184 …";;;;"926596127469768705";https://twitter.com/JDArtist/status/926596127469768705
JDArtist;2017-11-03 23:30;0;1;"..."asked the justices to vacate the D.C. Circuit’s ruling, which would mean that the decision would no longer serve as legal precedent."";;;;"926592500021817344";https://twitter.com/JDArtist/status/926592500021817344
JDArtist;2017-11-03 23:29;0;0;"Gov't seeks to vacate DC Circuit #JaneDoe #abortion ruling, asks for disciplinary action agnst lawyers http://www. scotusblog.com/2017/11/govern ment-seeks-vacate-d-c-circuit-abortion-ruling-asks-disciplinary-action-lawyers/ … ( @SCOTUSBlog )";;@SCOTUSBlog;#JaneDoe #abortion;"926592310472859648";https://twitter.com/JDArtist/status/926592310472859648
JDArtist;2017-11-03 23:12;0;1;"Necks... or perhaps some lil body parts closer to the *other* end of spines? #luvyaMaxine #nevercruelnorcowardly #nevergiveup #nevergivein https:// twitter.com/RepMaxineWater s/status/926505771382267904 …";;;#luvyaMaxine #nevercruelnorcowardly #nevergiveup #nevergivein;"926587822596911104";https://twitter.com/JDArtist/status/926587822596911104
JDArtist;2017-11-03 22:32;0;0;"Word that your immature, irresponsible, unproductive verbal assaults and divisiveness should be silenced? #Resist https:// twitter.com/realDonaldTrum p/status/926401530013642765 …";;;#Resist;"926577833257861120";https://twitter.com/JDArtist/status/926577833257861120
JDArtist;2017-11-03 22:19;1;0;"Petition @Chubb & @Lockton : Stop selling #MurderInsurance for the @NRA https:// stopmurderinsurance.org #DueProcess #Justice #BLM #Resist !";;@Chubb @Lockton @NRA;#MurderInsurance #DueProcess #Justice #BLM #Resist;"926574611218780160";https://twitter.com/JDArtist/status/926574611218780160
JDArtist;2017-11-03 09:03;0;0;"[Dan Quayle flashbacks] Ohdeargoddess, how can a single man be such a huge pile of #PainfullyStupid ? <–[just a rhetorical question ] *sighs* https:// twitter.com/CBSNews/status /926125508751953921 …";;;#PainfullyStupid;"926374231260258304";https://twitter.com/JDArtist/status/926374231260258304
JDArtist;2017-11-03 07:14;0;0;"https:// twitter.com/Wonkette/statu s/926323067302875136 …";;;;"926346906791317505";https://twitter.com/JDArtist/status/926346906791317505
JDArtist;2017-11-03 05:50;0;1;"https:// twitter.com/ddale8/status/ 926270139515002881 …";;;;"926325717360697344";https://twitter.com/JDArtist/status/926325717360697344
JDArtist;2017-11-03 05:16;0;1;"Entitled Ones™ never think pesky Accountability'd DARE cross their marble thresholds, so they only get po'd, not worried. Hopefully *WRONG*!";;;;"926317135697195009";https://twitter.com/JDArtist/status/926317135697195009
