username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JamesJ1304;2017-11-03 23:55;1;1;"i hope @LincolnPark77 wins the giveaway from @TheVampsband she would be sooo happy and she really deserves it ^^";;@LincolnPark77 @TheVampsband;;"926598750017028097";https://twitter.com/JamesJ1304/status/926598750017028097
JamesJ1304;2017-11-03 23:09;0;2;"it feels still like iam in a nightmare and cant wake up and go out of it :(";;;;"926587041797890048";https://twitter.com/JamesJ1304/status/926587041797890048
JamesJ1304;2017-11-03 23:07;0;0;"how can i help bae??";;;;"926586752298610689";https://twitter.com/JamesJ1304/status/926586752298610689
JamesJ1304;2017-11-03 22:59;0;0;"Iam Addicted To You @LincolnPark77 ^^";;@LincolnPark77;;"926584741826125824";https://twitter.com/JamesJ1304/status/926584741826125824
JamesJ1304;2017-11-03 22:19;1;1;"just the truth bae^^";;;;"926574464971747328";https://twitter.com/JamesJ1304/status/926574464971747328
JamesJ1304;2017-11-03 22:17;1;1;"@LincolnPark77 u are amazing i love you soo much i dont wanna miss you in my life! (Bff) You are Just perfect!!";;@LincolnPark77;;"926574055280570369";https://twitter.com/JamesJ1304/status/926574055280570369
JamesJ1304;2017-11-03 19:17;0;1;"really?";;;;"926528689696858112";https://twitter.com/JamesJ1304/status/926528689696858112
JamesJ1304;2017-11-03 13:16;1;1;"hey now baby";;;;"926437935393722370";https://twitter.com/JamesJ1304/status/926437935393722370
JamesJ1304;2017-11-03 05:02;0;3;"there is nothing more perfect then a girl thinking that she isnt perfect with all her flaws but in my eyes she is beautiful/Sweet&Perfect!";;;;"926313704907509760";https://twitter.com/JamesJ1304/status/926313704907509760
JamesJ1304;2017-11-03 04:58;0;1;"Just Know I Really Appreciate you and iam happy to have you in my life thx for loving and appreciating me how iam and who iam!!!";;;;"926312676455743488";https://twitter.com/JamesJ1304/status/926312676455743488
JamesJ1304;2017-11-03 04:56;0;3;"I Wanna Sleep More But I Sleep Less!iam fuckin sleepless";;;;"926312178000461824";https://twitter.com/JamesJ1304/status/926312178000461824
JamesJ1304;2017-11-03 04:55;1;1;"Come here and go with me to the concert";;;;"926311938749091840";https://twitter.com/JamesJ1304/status/926311938749091840
JamesJ1304;2017-11-03 04:54;0;1;"when u know a perfect girl but you also know you never gonna have more then a friendship...";;;;"926311518911848448";https://twitter.com/JamesJ1304/status/926311518911848448
JamesJ1304;2017-11-03 04:49;0;0;"lmfao your pic fits perfectly on that cover art";;;;"926310259899224064";https://twitter.com/JamesJ1304/status/926310259899224064
JamesJ1304;2017-11-03 04:47;1;1;"So lucky lol its not much but you totally deserve to be noticed hun!!^^";;;;"926309862069424128";https://twitter.com/JamesJ1304/status/926309862069424128
JamesJ1304;2017-11-03 04:44;0;0;"http:// Jesse98J.sarahah.com";;;;"926309198522126336";https://twitter.com/JamesJ1304/status/926309198522126336
JamesJ1304;2017-11-03 03:19;1;1;"Hopefully Gonna get tickets for #FreedomChildTour @thescript hopefully see you in vienna next year!!!!";;@thescript;#FreedomChildTour;"926287796008087555";https://twitter.com/JamesJ1304/status/926287796008087555
JamesJ1304;2017-11-03 00:50;0;0;"u can write me massages on sarahah Hopefully only positive messages! pic.twitter.com/hLWfqsUkce";;;;"926250199294541824";https://twitter.com/JamesJ1304/status/926250199294541824
JamesJ1304;2017-11-03 00:45;0;0;"why is it not Us Vs The Other ones?";;;;"926248958204227585";https://twitter.com/JamesJ1304/status/926248958204227585
JamesJ1304;2017-11-03 00:44;0;0;"I Really fckin like you,You mean so much to me but your so far far away :(";;;;"926248767195701248";https://twitter.com/JamesJ1304/status/926248767195701248
