username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OnTheLoose4NJH;2017-11-03 23:51;0;1;"Love you my queen!";;;;"926597653793792001";https://twitter.com/OnTheLoose4NJH/status/926597653793792001
OnTheLoose4NJH;2017-11-03 23:47;0;0;"Keep it up!! https:// twitter.com/NiallDailyVote /status/926479618902814720 …";;;;"926596617586839558";https://twitter.com/OnTheLoose4NJH/status/926596617586839558
OnTheLoose4NJH;2017-11-03 23:42;7;14;"This is me and @Faby_1DFam cause Niall noticed her and Liam noticed me. *Sisters for life* pic.twitter.com/vYJMNpPoJi";;@Faby_1DFam;;"926595542557298690";https://twitter.com/OnTheLoose4NJH/status/926595542557298690
OnTheLoose4NJH;2017-11-03 23:40;0;0;"pic.twitter.com/K2Cl5QGYjc";;;;"926594856406921216";https://twitter.com/OnTheLoose4NJH/status/926594856406921216
OnTheLoose4NJH;2017-11-03 23:38;0;2;"Thanks ticketmaster. I had no idea pic.twitter.com/gp3ram9D9F";;;;"926594414545375233";https://twitter.com/OnTheLoose4NJH/status/926594414545375233
OnTheLoose4NJH;2017-11-03 23:22;0;2;"*cough* Niall Horan *cough*";;;;"926590484490973184";https://twitter.com/OnTheLoose4NJH/status/926590484490973184
OnTheLoose4NJH;2017-11-03 23:15;0;0;"7 years later and they still can't get his name right https:// twitter.com/niallontours/s tatus/926563651489812485 …";;;;"926588788549324805";https://twitter.com/OnTheLoose4NJH/status/926588788549324805
OnTheLoose4NJH;2017-11-03 23:09;0;1;"@NiallOfficial have a great show tonight Niall. I love ya!! See ya in 9 days!";;@NiallOfficial;;"926587134290677760";https://twitter.com/OnTheLoose4NJH/status/926587134290677760
OnTheLoose4NJH;2017-11-03 23:08;10;3;"@NiallDailyVote @NiallOfficial for New Artist of the Year presented by T-Mobile at the #AMAs pic.twitter.com/07p55mngA3";;@NiallDailyVote @NiallOfficial;#AMAs;"926586857521143808";https://twitter.com/OnTheLoose4NJH/status/926586857521143808
OnTheLoose4NJH;2017-11-03 23:06;4;0;"Skylar & Willow are voting for Niall. Are you? @NiallOfficial for New Artist of the Year presented by T-Mobile at the #AMAs pic.twitter.com/7Ug6qkQD4b";;@NiallOfficial;#AMAs;"926586293492035584";https://twitter.com/OnTheLoose4NJH/status/926586293492035584
OnTheLoose4NJH;2017-11-03 23:05;7;2;"@NiallOfficial for New Artist of the Year presented by T-Mobile at the #AMAs pic.twitter.com/breosE2kFz";;@NiallOfficial;#AMAs;"926586073429561344";https://twitter.com/OnTheLoose4NJH/status/926586073429561344
OnTheLoose4NJH;2017-11-03 23:04;0;0;"Um... https://www. instagram.com/p/BbC4xhcny4F/ damn you Horan!";;;;"926585900921999360";https://twitter.com/OnTheLoose4NJH/status/926585900921999360
OnTheLoose4NJH;2017-11-03 23:00;1;0;"I’m voting for Niall Horan for New Artist of the Year presented by T-Mobile at the #AMAs ! Vote here: http:// VoteAMAs.com @AMAs";;@AMAs;#AMAs;"926584884767977475";https://twitter.com/OnTheLoose4NJH/status/926584884767977475
OnTheLoose4NJH;2017-11-03 22:57;0;0;"Good night all! @LiamPayne I love you sooooooo much!";;@LiamPayne;;"926584201956208641";https://twitter.com/OnTheLoose4NJH/status/926584201956208641
OnTheLoose4NJH;2017-11-03 22:57;0;1;"I understand";;;;"926584096272330752";https://twitter.com/OnTheLoose4NJH/status/926584096272330752
OnTheLoose4NJH;2017-11-03 22:56;0;0;"@liamsolodebut are you alive? congratulations!!";;@liamsolodebut;;"926583816206147585";https://twitter.com/OnTheLoose4NJH/status/926583816206147585
OnTheLoose4NJH;2017-11-03 22:55;0;1;"His performance was better than the original. No joke. @LiamPayne https:// twitter.com/ljpbestphotos/ status/926570716933353472 …";;@LiamPayne;;"926583553323913221";https://twitter.com/OnTheLoose4NJH/status/926583553323913221
OnTheLoose4NJH;2017-11-03 22:54;0;1;"Say what?? Where am I gonna get my @LiamPayne updates? pic.twitter.com/DQEcOQX8dY";;@LiamPayne;;"926583337736720384";https://twitter.com/OnTheLoose4NJH/status/926583337736720384
OnTheLoose4NJH;2017-11-03 22:52;0;1;"One day I know @LiamPayne will follow me or I'll get the chance to hug him. I love him so fooking much!,";;@LiamPayne;;"926583007858909185";https://twitter.com/OnTheLoose4NJH/status/926583007858909185
OnTheLoose4NJH;2017-11-03 22:51;0;0;"@LiamPayne if you ever come to St Louis can I hug you? You guys saved me from suicide in 2014. I owe you my life.";;@LiamPayne;;"926582571399569408";https://twitter.com/OnTheLoose4NJH/status/926582571399569408
OnTheLoose4NJH;2017-11-03 22:50;0;0;"@LiamPayne you have a lot of talent Liam. Your voice is absolutely beautiful. I get chills and butterflies. You are incredible";;@LiamPayne;;"926582401270247424";https://twitter.com/OnTheLoose4NJH/status/926582401270247424
OnTheLoose4NJH;2017-11-03 22:43;0;0;"Bitch Janet mode.. pic.twitter.com/Ai2ApihHMr";;;;"926580710131077122";https://twitter.com/OnTheLoose4NJH/status/926580710131077122
OnTheLoose4NJH;2017-11-03 22:43;3;1;"My QUEEN GOT RETWEETED!! https:// twitter.com/Faby_1DFam/sta tus/926510418109005825 …";;;;"926580585052672001";https://twitter.com/OnTheLoose4NJH/status/926580585052672001
OnTheLoose4NJH;2017-11-03 22:43;0;0;"Yay!!! https:// twitter.com/Faby_1DFam/sta tus/926510418109005825 …";;;;"926580516870131713";https://twitter.com/OnTheLoose4NJH/status/926580516870131713
OnTheLoose4NJH;2017-11-03 22:42;0;0;"Nick was smaller than all of you. Not so much anymore";;;;"926580410422890496";https://twitter.com/OnTheLoose4NJH/status/926580410422890496
OnTheLoose4NJH;2017-11-03 22:32;0;0;"https:// twitter.com/ljpbestphotos/ status/926575918071582720 …";;;;"926577833115308032";https://twitter.com/OnTheLoose4NJH/status/926577833115308032
OnTheLoose4NJH;2017-11-03 22:30;0;0;"Thank you so much";;;;"926577367572762630";https://twitter.com/OnTheLoose4NJH/status/926577367572762630
OnTheLoose4NJH;2017-11-03 22:26;2;2;"Niall in St Louis Missouri on August 25. I have soundcheck but no meet and greet. I'm also seeing him in 9 days in Nashville. :)";;;;"926576312675954690";https://twitter.com/OnTheLoose4NJH/status/926576312675954690
OnTheLoose4NJH;2017-11-03 22:25;0;0;"Whoa!! Get ready for bitch Janet to come out!! I'm so fucking ticked right now!! pic.twitter.com/ddTyEEm8yl";;;;"926576160447827968";https://twitter.com/OnTheLoose4NJH/status/926576160447827968
OnTheLoose4NJH;2017-11-03 22:23;0;0;"Havana!! https:// twitter.com/Q100Atlanta/st atus/926537227793989632 …";;;;"926575678341963776";https://twitter.com/OnTheLoose4NJH/status/926575678341963776
OnTheLoose4NJH;2017-11-03 22:22;0;0;"@bellathorne I can't wait to see the video with Liam. I adore you Bella. Have since Shake It Up. Ignore the haters!!";;@bellathorne;;"926575371499261952";https://twitter.com/OnTheLoose4NJH/status/926575371499261952
OnTheLoose4NJH;2017-11-03 22:02;0;0;"You never disappoint Liam. You're awesome! Maybe one day you'll click my follow button. But if not its all gravy! I love you";;;;"926570303161032704";https://twitter.com/OnTheLoose4NJH/status/926570303161032704
OnTheLoose4NJH;2017-11-03 22:01;0;0;"And thanks again Liam for the tweet 2 days ago. I love you";;;;"926570141546053633";https://twitter.com/OnTheLoose4NJH/status/926570141546053633
OnTheLoose4NJH;2017-11-03 22:01;0;0;"I'm getting off. Nobody seems to be online. Bye all. Have a great show tonight Niall.";;;;"926570006141390851";https://twitter.com/OnTheLoose4NJH/status/926570006141390851
OnTheLoose4NJH;2017-11-03 21:57;0;0;"Both groups were great, but which group is actually breaking records today? Hmmm... pic.twitter.com/vHSWtMkGvW";;;;"926568940649795585";https://twitter.com/OnTheLoose4NJH/status/926568940649795585
OnTheLoose4NJH;2017-11-03 21:56;0;0;"Um is it 1999-2000 again?";;;;"926568782474153985";https://twitter.com/OnTheLoose4NJH/status/926568782474153985
OnTheLoose4NJH;2017-11-03 21:55;0;4;"pic.twitter.com/7jwdSKy45w";;;;"926568585874558976";https://twitter.com/OnTheLoose4NJH/status/926568585874558976
OnTheLoose4NJH;2017-11-03 21:53;1;0;"My guinea pigs are voting. Are you? @AMAs @NiallOfficial for New Artist of the Year presented by T-Mobile at the #AMAs https:// twitter.com/OntheLoose4NJH /status/926567667980472320 …";;@AMAs @NiallOfficial;#AMAs;"926567937951043585";https://twitter.com/OnTheLoose4NJH/status/926567937951043585
OnTheLoose4NJH;2017-11-03 21:52;11;3;"@NiallOfficial for New Artist of the Year presented by T-Mobile at the #AMAs pic.twitter.com/tVvtqslu4W";;@NiallOfficial;#AMAs;"926567667980472320";https://twitter.com/OnTheLoose4NJH/status/926567667980472320
OnTheLoose4NJH;2017-11-03 21:38;4;1;"@NiallOfficial for New Artist of the Year presented by T-Mobile at the #AMAs pic.twitter.com/vbn0bpXgx3";;@NiallOfficial;#AMAs;"926564306241630214";https://twitter.com/OnTheLoose4NJH/status/926564306241630214
OnTheLoose4NJH;2017-11-03 21:28;0;0;"Any chance of some love Donnie? I can't watch #BlueBloods with ya tonight. I you!";;;#BlueBloods;"926561800304373766";https://twitter.com/OnTheLoose4NJH/status/926561800304373766
OnTheLoose4NJH;2017-11-03 21:17;0;0;"Truth!! That's what happened with Liam. i wasn't expecting it at all and then boom! Congrats faby!!! https:// twitter.com/Faby_1DFam/sta tus/926519033813454848 …";;;;"926558905714597888";https://twitter.com/OnTheLoose4NJH/status/926558905714597888
OnTheLoose4NJH;2017-11-03 21:13;0;0;"#NewProfilePic pic.twitter.com/XyTd5k6fAP";;;#NewProfilePic;"926557999560380418";https://twitter.com/OnTheLoose4NJH/status/926557999560380418
