username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PandaGlobalPG;2017-11-03 23:49;0;1;"pic.twitter.com/8WKOcvpuaF";;;;"926597200578334721";https://twitter.com/PandaGlobalPG/status/926597200578334721
PandaGlobalPG;2017-11-03 23:42;0;1;"Perfection. (and in case you didn't know multistre.am and http:// multitwitch.tv exist :D)";;;;"926595486034821120";https://twitter.com/PandaGlobalPG/status/926595486034821120
PandaGlobalPG;2017-11-03 23:06;2;10;"And @mtlhayatei does it! He takes down EMPR Knicks to move on in #ELEAGUE . 1 more round to TBS... pic.twitter.com/n9NQWDCwKc";;@mtlhayatei;#ELEAGUE;"926586347577626624";https://twitter.com/PandaGlobalPG/status/926586347577626624
PandaGlobalPG;2017-11-03 22:52;1;3;"Today's been REAL busy, but make sure you don't miss the god @mtlhayatei tearing up ELEAGUE! Lets see some Robin https://www. twitch.tv/eleaguetv";;@mtlhayatei;;"926582893371158529";https://twitter.com/PandaGlobalPG/status/926582893371158529
PandaGlobalPG;2017-11-03 21:25;1;6;"We'd wish you luck but you're already a god so just do your thing";;;;"926560948227362817";https://twitter.com/PandaGlobalPG/status/926560948227362817
PandaGlobalPG;2017-11-03 21:10;0;1;"We predict @Kitana_Prime commentating about how amazing @mtlhayatei is. https:// twitter.com/ELEAGUETV/stat us/926554714862481411 …";;@Kitana_Prime @mtlhayatei;;"926557138352209925";https://twitter.com/PandaGlobalPG/status/926557138352209925
PandaGlobalPG;2017-11-03 19:56;0;7;"Thanks for the love @PG_Rubcub Kill it in the rest of the group stage, we'll be watching! #Blizzcon2017 pic.twitter.com/uBa53E7EMl";;@PG_Rubcub;#Blizzcon2017;"926538561737953280";https://twitter.com/PandaGlobalPG/status/926538561737953280
PandaGlobalPG;2017-11-03 19:39;0;13;"Production value #WoWesports pic.twitter.com/2ZmCnUB7FB";;;#WoWesports;"926534258486927360";https://twitter.com/PandaGlobalPG/status/926534258486927360
PandaGlobalPG;2017-11-03 19:21;0;9;"Lets start #Blizzcon2017 off right. We're the opening match vs. @Splyce , don't miss it! @wallabare @rositajones_ @PG_Rubcub @jellybeanstv pic.twitter.com/F3GSjm1TUV";;@Splyce @wallabare @rositajones_ @PG_Rubcub @jellybeanstv;#Blizzcon2017;"926529705876082689";https://twitter.com/PandaGlobalPG/status/926529705876082689
PandaGlobalPG;2017-11-03 19:10;2;3;"Battle for Azeroth, huh? Guess this is as good a time as any";;;;"926526958674079744";https://twitter.com/PandaGlobalPG/status/926526958674079744
PandaGlobalPG;2017-11-03 19:00;0;13;"WE LOVE ICE CREAM";;;;"926524612640428033";https://twitter.com/PandaGlobalPG/status/926524612640428033
PandaGlobalPG;2017-11-03 18:38;1671;281;"To celebrate #Blizzcon2017 we have a @ToshibaUSA x PG SSD giveaway! Enter: RT+Like Tag Friend Click link https:// gleam.io/sThfH/toshiba- x-wow-blizzcon-giveaway … pic.twitter.com/s1kw0MqMuM";;@ToshibaUSA;#Blizzcon2017;"926518925382377474";https://twitter.com/PandaGlobalPG/status/926518925382377474
PandaGlobalPG;2017-11-03 16:57;0;17;"Let the games begin. #Blizzcon2017 pic.twitter.com/H3hQo2sjYp";;;#Blizzcon2017;"926493440250171394";https://twitter.com/PandaGlobalPG/status/926493440250171394
PandaGlobalPG;2017-11-03 16:54;2;11;"The one, the only, THE @mtlhayatei will be there. You better be watching. https:// twitter.com/ELEAGUETV/stat us/926464818550321152 …";;@mtlhayatei;;"926492670129790976";https://twitter.com/PandaGlobalPG/status/926492670129790976
PandaGlobalPG;2017-11-03 16:33;0;24;"Pls TAS, for the people";;;;"926487417204498432";https://twitter.com/PandaGlobalPG/status/926487417204498432
PandaGlobalPG;2017-11-03 00:20;3;39;"Hey Google, what does Plup mean? pic.twitter.com/pDDie6wriA";;;;"926242724650594305";https://twitter.com/PandaGlobalPG/status/926242724650594305
PandaGlobalPG;2017-11-03 00:16;1;4;"Ayyy what an awesome fan https:// twitter.com/cMEnomore89/st atus/926229082517491713 …";;;;"926241587935531009";https://twitter.com/PandaGlobalPG/status/926241587935531009
PandaGlobalPG;2017-11-02 22:34;0;2;"Us too";;;;"926216077453021184";https://twitter.com/PandaGlobalPG/status/926216077453021184
PandaGlobalPG;2017-11-02 22:25;3;25;"And @PG_Plup takes the iron man over Axe with his wide pool of character talent! Great way to start the Panda Weekend #SmashSummit pic.twitter.com/xVD2siJAAd";;@PG_Plup;#SmashSummit;"926213677426139137";https://twitter.com/PandaGlobalPG/status/926213677426139137
PandaGlobalPG;2017-11-02 21:52;0;16;"plup is a luigi main, did you not get the memo? https:// twitter.com/NuggetCrt/stat us/926199610154061824 …";;;;"926205296334262272";https://twitter.com/PandaGlobalPG/status/926205296334262272
