username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SadieLouWho;2017-11-03 23:45;0;0;"It is!! One of my favorite covers and all the stories were so great I couldn’t pick a favorite";;;;"926596252111736832";https://twitter.com/SadieLouWho/status/926596252111736832
SadieLouWho;2017-11-03 23:44;0;1;"Hahahah stop. Bologna is precious and delicious!";;;;"926596098113683456";https://twitter.com/SadieLouWho/status/926596098113683456
SadieLouWho;2017-11-03 22:27;1;11;"I rated this collection I loved it soooo much! #horror #strangefiction https:// twitter.com/apexbookcompan y/status/926572239897743361 …";;;#horror #strangefiction;"926576673130135553";https://twitter.com/SadieLouWho/status/926576673130135553
SadieLouWho;2017-11-03 21:44;0;3;"I was born to a Horror last year https:// twitter.com/chuckwendig/st atus/926560502419017728 …";;;;"926565869722877952";https://twitter.com/SadieLouWho/status/926565869722877952
SadieLouWho;2017-11-03 21:12;0;1;"Thank you very much!";;;;"926557738993303553";https://twitter.com/SadieLouWho/status/926557738993303553
SadieLouWho;2017-11-03 19:48;0;6;"I totally ate a bologna sandwich today. Yes. Thanks for asking! pic.twitter.com/CkCllRCPcU";;;;"926536607859015680";https://twitter.com/SadieLouWho/status/926536607859015680
SadieLouWho;2017-11-03 19:05;3;19;"Thank you @CrownPublishing for this free ARC of The Chalk Man by @cjtudor I cannot wait! pic.twitter.com/z4rP3Dg5Tt";;@CrownPublishing @cjtudor;;"926525682556985344";https://twitter.com/SadieLouWho/status/926525682556985344
SadieLouWho;2017-11-03 14:32;0;5;"I don’t even know this “Twitter employee” but I love them. https:// twitter.com/twittergov/sta tus/926238960594178048 …";;;;"926457016075280385";https://twitter.com/SadieLouWho/status/926457016075280385
SadieLouWho;2017-11-03 14:29;0;1;"Yaaaaaaas pic.twitter.com/PyTRCBWC00";;;;"926456346576171009";https://twitter.com/SadieLouWho/status/926456346576171009
SadieLouWho;2017-11-03 14:28;0;2;"You’re welcome!";;;;"926455951992832001";https://twitter.com/SadieLouWho/status/926455951992832001
SadieLouWho;2017-11-03 14:27;0;2;"Hahahah";;;;"926455819763302401";https://twitter.com/SadieLouWho/status/926455819763302401
SadieLouWho;2017-11-03 13:37;0;1;"You got it David!";;;;"926443154798022657";https://twitter.com/SadieLouWho/status/926443154798022657
SadieLouWho;2017-11-03 13:36;0;1;"";;;;"926443017795280896";https://twitter.com/SadieLouWho/status/926443017795280896
SadieLouWho;2017-11-03 13:36;0;6;"“Friends see most of each other’s flaws. Spouses see every awful last bit.” Gone Girl #booknerd #FridayFeels pic.twitter.com/earqYslD0n";;;#booknerd #FridayFeels;"926442894914871296";https://twitter.com/SadieLouWho/status/926442894914871296
SadieLouWho;2017-11-03 13:12;3;11;"#FF lovers of horror! @paperbacksnpugs @ApatheticPawn @BakerStShelves @CodyTidwell_14 @erherringbone @BookHappy08 @freeman_ac @MikeH5856 pic.twitter.com/3iF6lYC2s4";;@paperbacksnpugs @ApatheticPawn @BakerStShelves @CodyTidwell_14 @erherringbone @BookHappy08 @freeman_ac @MikeH5856;#FF;"926437005940027392";https://twitter.com/SadieLouWho/status/926437005940027392
SadieLouWho;2017-11-03 13:09;0;2;"Hey thanks Baba!";;;;"926436195369758720";https://twitter.com/SadieLouWho/status/926436195369758720
SadieLouWho;2017-11-03 11:14;0;0;"I’m annoyed with some of the nominations in this category";;;;"926407239732101120";https://twitter.com/SadieLouWho/status/926407239732101120
SadieLouWho;2017-11-03 11:12;2;4;"I also read the @KMDeMeester short story in Tales From a Talking Board and it was so choice https:// twitter.com/wordhorde/stat us/926149420705497088 …";;@KMDeMeester;;"926406795806908416";https://twitter.com/SadieLouWho/status/926406795806908416
SadieLouWho;2017-11-03 10:33;0;0;"I’m glad none of the Amazons went with that hairstyle though.";;;;"926396937443581952";https://twitter.com/SadieLouWho/status/926396937443581952
SadieLouWho;2017-11-03 04:05;0;8;"#NaNoWriMo2017 word count Day 2: 1,556. My writing isn't sequential at all. Totally wrote a scene I felt like writing today.";;;#NaNoWriMo2017;"926299310068830208";https://twitter.com/SadieLouWho/status/926299310068830208
SadieLouWho;2017-11-03 01:24;0;1;"I did 100% enjoy that battle scene on the beach!";;;;"926258684509999104";https://twitter.com/SadieLouWho/status/926258684509999104
SadieLouWho;2017-11-02 23:33;0;2;"Mmmmm nice try Baba. Those “clothes” looked really uncomfortable and poorly made.";;;;"926230787346767873";https://twitter.com/SadieLouWho/status/926230787346767873
SadieLouWho;2017-11-02 23:32;0;4;"These appeal to me very much https:// twitter.com/the__kamel/sta tus/926210350411931648 …";;;;"926230492755529729";https://twitter.com/SadieLouWho/status/926230492755529729
SadieLouWho;2017-11-02 21:54;0;1;"LeHane is pro-status in my book";;;;"926205832315801600";https://twitter.com/SadieLouWho/status/926205832315801600
SadieLouWho;2017-11-02 21:38;0;11;"It’s interesting that #WonderWoman lives in paradise with fellow Amazonian women & they wear impractical, revealing clothing. I’m skeptical";;;#WonderWoman;"926201994879967232";https://twitter.com/SadieLouWho/status/926201994879967232
SadieLouWho;2017-11-02 19:43;0;2;"I want books to hold in my hands. I’m spoiled.";;;;"926172880185860096";https://twitter.com/SadieLouWho/status/926172880185860096
SadieLouWho;2017-11-02 16:58;0;1;"I own one of them so I'll just host a giveaway. No biggie!";;;;"926131371348713472";https://twitter.com/SadieLouWho/status/926131371348713472
SadieLouWho;2017-11-02 16:57;11;29;"Why is @KealanBurke like Mint Chip Ice Cream and what scares a writer of #horror ? Read my full interview https:// sadiehartmann.blogspot.com/2017/11/author -interview-kealan-patrick-burke.html … pic.twitter.com/S0Ss5xfSmV";;@KealanBurke;#horror;"926131056297705472";https://twitter.com/SadieLouWho/status/926131056297705472
SadieLouWho;2017-11-02 15:36;0;1;"I hope I don’t already own them! Do I?";;;;"926110826422943744";https://twitter.com/SadieLouWho/status/926110826422943744
SadieLouWho;2017-11-02 14:26;2;32;"A favorite book to movie: The Drop by Dennis LeHane. Great plot. Killer screenplay and #TomHardy what more do you want? Read the book! pic.twitter.com/yQVPpAYvhW";;;#TomHardy;"926093041936379904";https://twitter.com/SadieLouWho/status/926093041936379904
SadieLouWho;2017-11-02 03:38;0;1;"I think I'll just work extra long tomorrow; too tired.";;;;"925930146112008193";https://twitter.com/SadieLouWho/status/925930146112008193
