username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SarahTolcser;2017-11-03 23:58;0;0;"They also have these!! https://www. shopdisney.com/poe-dameron-co stume-pj-set-for-kids-star-wars-the-last-jedi-1441260 … and THESE https://www. shopdisney.com/star-wars-paja ma-set-kids-1444201 … but they are "for kids". Ugh whatEVER booooo";;;;"926599429787930626";https://twitter.com/SarahTolcser/status/926599429787930626
SarahTolcser;2017-11-03 23:56;0;1;"DO IT";;;;"926598967693103106";https://twitter.com/SarahTolcser/status/926598967693103106
SarahTolcser;2017-11-03 23:54;0;3;"Update: My husband has not yet seen them. Let us hope he can still see me as a sexual being.";;;;"926598560434589696";https://twitter.com/SarahTolcser/status/926598560434589696
SarahTolcser;2017-11-03 23:53;0;2;"PORGJAMAS.";;;;"926598244444012545";https://twitter.com/SarahTolcser/status/926598244444012545
SarahTolcser;2017-11-03 23:43;0;1;"My sizing note is that I could've probably ordered an S instead of a M, because they are quite stretchy, but I don't know if they'll shrink";;;;"926595699227193346";https://twitter.com/SarahTolcser/status/926595699227193346
SarahTolcser;2017-11-03 23:42;0;1;"I really think I might be.";;;;"926595376156762113";https://twitter.com/SarahTolcser/status/926595376156762113
SarahTolcser;2017-11-03 23:41;0;1;"I'm drinking a cocktail in them right now.";;;;"926595298083950592";https://twitter.com/SarahTolcser/status/926595298083950592
SarahTolcser;2017-11-03 23:41;0;1;"https://www. shopdisney.com/porgs-pajama-s et-for-women-star-wars-the-last-jedi-1441739 …";;;;"926595147692953601";https://twitter.com/SarahTolcser/status/926595147692953601
SarahTolcser;2017-11-03 23:41;0;1;"https://www. shopdisney.com/porgs-pajama-s et-for-women-star-wars-the-last-jedi-1441739 …";;;;"926595129397448704";https://twitter.com/SarahTolcser/status/926595129397448704
SarahTolcser;2017-11-03 23:40;0;4;"Bc people are asking, they were $17 on sale at the Disney Store last week but $30 now. Go forth: https://www. shopdisney.com/porgs-pajama-s et-for-women-star-wars-the-last-jedi-1441739 …";;;;"926594937667444741";https://twitter.com/SarahTolcser/status/926594937667444741
SarahTolcser;2017-11-03 23:38;0;3;"I put them on immediately when they came off the UPS truck at 6 PM. I’m drinking a cocktail in them.";;;;"926594550348513281";https://twitter.com/SarahTolcser/status/926594550348513281
SarahTolcser;2017-11-03 23:37;0;73;"IMPORTANT BREAKING NEWS: These pajamas are the most ridiculous thing I now own. pic.twitter.com/V2ecXOiI7u";;;;"926594225453588480";https://twitter.com/SarahTolcser/status/926594225453588480
SarahTolcser;2017-11-03 23:22;0;1;"to be fair, this is a sequel, and I'm not sure how else you are supposed to write a sequel except TAKE EVERYTHING FROM BOOK 1 AWAY";;;;"926590360809328647";https://twitter.com/SarahTolcser/status/926590360809328647
SarahTolcser;2017-11-03 23:19;0;1;"like how is not being paid a risk worth taking? hahahaha";;;;"926589639242211329";https://twitter.com/SarahTolcser/status/926589639242211329
SarahTolcser;2017-11-03 23:18;0;6;"*reads own book* Wow, I totally ruined my MC's life in the first 1/3 of this book, huh?";;;;"926589503376121862";https://twitter.com/SarahTolcser/status/926589503376121862
