username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SinBinTBirds;2017-11-03 23:49;1;0;"End of one period Thunderbirds 2 Wolf Pack 0 SOG Thunderbirds 12 Wolf Pack 9";;;;"926597152691884033";https://twitter.com/SinBinTBirds/status/926597152691884033
SinBinTBirds;2017-11-03 23:47;0;0;"Scarlett also gets an extra two for unsportsmanlike conduct";;;;"926596845576622080";https://twitter.com/SinBinTBirds/status/926596845576622080
SinBinTBirds;2017-11-03 23:47;0;0;"Reece Scarlett heads to the box for Springfield for slashing";;;;"926596648272310273";https://twitter.com/SinBinTBirds/status/926596648272310273
SinBinTBirds;2017-11-03 23:46;0;0;"Montembeault has been making some incredible saves";;;;"926596570295959552";https://twitter.com/SinBinTBirds/status/926596570295959552
SinBinTBirds;2017-11-03 23:43;1;0;"Dryden Hunt and Henrik Haapala get their second assists of the night";;;;"926595663906983936";https://twitter.com/SinBinTBirds/status/926595663906983936
SinBinTBirds;2017-11-03 23:42;1;0;"Curtis Valk extends the lead for the Thunderbirds its 2-0";;;;"926595483732242432";https://twitter.com/SinBinTBirds/status/926595483732242432
SinBinTBirds;2017-11-03 23:37;0;0;"Josh Brown heads to the box for Springfield for interference";;;;"926594260228542464";https://twitter.com/SinBinTBirds/status/926594260228542464
SinBinTBirds;2017-11-03 23:29;1;0;"Dryden Hunt and Henrik Haapala get assists on Greco's goal";;;;"926592248380297218";https://twitter.com/SinBinTBirds/status/926592248380297218
SinBinTBirds;2017-11-03 23:28;1;0;"Anthony Greco scores its 1-0 Thunderbirds";;;;"926592025914470400";https://twitter.com/SinBinTBirds/status/926592025914470400
SinBinTBirds;2017-11-03 23:26;0;0;"penalty will be served by Ryan Gropp";;;;"926591381619068928";https://twitter.com/SinBinTBirds/status/926591381619068928
SinBinTBirds;2017-11-03 23:25;0;0;"Hartford will now be called for too many men on the ice with 11:46 remaining in the first period";;;;"926591217281925121";https://twitter.com/SinBinTBirds/status/926591217281925121
SinBinTBirds;2017-11-03 23:19;0;0;"Ryan Horvat heads to the box for the Thunderbirds for interference at 4:23";;;;"926589676860911616";https://twitter.com/SinBinTBirds/status/926589676860911616
SinBinTBirds;2017-11-03 23:15;0;0;"The Wolf Pack will be called for penalty 1:18 into the game as Bereglazov is called for hooking";;;;"926588695326621696";https://twitter.com/SinBinTBirds/status/926588695326621696
SinBinTBirds;2017-11-03 23:12;0;0;"Game Underway here in Springfield";;;;"926587984610197504";https://twitter.com/SinBinTBirds/status/926587984610197504
SinBinTBirds;2017-11-03 23:07;1;0;"Willie O'Ree will now have his own banner in the rafters here at the MassMutual Center";;;;"926586632010129408";https://twitter.com/SinBinTBirds/status/926586632010129408
