username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TheRealFTA;2017-11-03 23:44;1;28;"Celebrating #NationalSandwhichDay with a couple ‘o foot longs and watching Spider-Man Homecoming with da fam.";;;#NationalSandwhichDay;"926595938369622016";https://twitter.com/TheRealFTA/status/926595938369622016
TheRealFTA;2017-11-03 23:23;0;0;"?";;;;"926590607199555586";https://twitter.com/TheRealFTA/status/926590607199555586
TheRealFTA;2017-11-03 22:10;1;29;"Follow up question for Sonic, does it get tiresome constantly traveling back and forth between 2 worlds for convoluted story reasons?";;;;"926572299414921221";https://twitter.com/TheRealFTA/status/926572299414921221
TheRealFTA;2017-11-03 21:58;0;13;"Why not both?";;;;"926569315192668161";https://twitter.com/TheRealFTA/status/926569315192668161
TheRealFTA;2017-11-03 21:31;0;0;"Good luck, man!";;;;"926562575801880576";https://twitter.com/TheRealFTA/status/926562575801880576
TheRealFTA;2017-11-03 18:34;5;86;"@sonic_hedgehog If Sonic is the one true King Arthur, and Shadow is an genetic creation/alien hybrid, and Eggman is a human (kind of), my question is: Do you like jazz?";;@sonic_hedgehog;;"926518026270363648";https://twitter.com/TheRealFTA/status/926518026270363648
TheRealFTA;2017-11-03 17:01;1;17;"Oh well, these will go great with my Mania vinyl....";;;;"926494522581880838";https://twitter.com/TheRealFTA/status/926494522581880838
TheRealFTA;2017-11-03 16:57;7;69;"God damn it! Time to get a vinyl player! https:// twitter.com/bravewavemusic /status/926481360147173376 …";;;;"926493586169966592";https://twitter.com/TheRealFTA/status/926493586169966592
TheRealFTA;2017-11-03 02:05;0;6;"Blood Sonic wins!";;;;"926269071875813381";https://twitter.com/TheRealFTA/status/926269071875813381
TheRealFTA;2017-11-03 01:42;0;6;"Alice Cooper is one of the worst characters in any TV show. I hope she gets sent to the Moon in a rocket";;;;"926263171488370688";https://twitter.com/TheRealFTA/status/926263171488370688
TheRealFTA;2017-11-03 01:35;0;6;"Ha, Jughead got grabbed by the ghoulies";;;;"926261396442148869";https://twitter.com/TheRealFTA/status/926261396442148869
TheRealFTA;2017-11-03 01:34;0;0;"We toyed with doing a podcast for it. Maybe between seasons 2&3 we will...";;;;"926261321682866176";https://twitter.com/TheRealFTA/status/926261321682866176
TheRealFTA;2017-11-03 01:24;0;7;"Why is every mother a complete prick to their daughters for?";;;;"926258857789345792";https://twitter.com/TheRealFTA/status/926258857789345792
TheRealFTA;2017-11-03 01:19;0;4;"Veronica and Cheryl are the best characters in this show.";;;;"926257594402066433";https://twitter.com/TheRealFTA/status/926257594402066433
