username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WissaGhali;2017-11-03 23:59;0;0;"J'aime une vidéo @YouTube : "Fergie - You Already Know ft. Nicki Minaj" à l'adresse http:// youtu.be/-Ifnaxi2LQg?a .";;@YouTube;;"926599698223390720";https://twitter.com/WissaGhali/status/926599698223390720
WissaGhali;2017-11-03 23:55;0;0;"J'aime une vidéo @YouTube : "N.E.R.D & Rihanna - Lemon" à l'adresse http:// youtu.be/L_u97PqWX6g?a .";;@YouTube;;"926598732254150656";https://twitter.com/WissaGhali/status/926598732254150656
WissaGhali;2017-11-03 23:49;0;0;"@LilKim Congrats on your new joint! Dis is DOPE!";;@LilKim;;"926597238125727746";https://twitter.com/WissaGhali/status/926597238125727746
WissaGhali;2017-11-03 23:43;8;11;"Lil' Kim - Took Us A Break https:// youtu.be/ft-nkKMfacQ via @YouTube @LilKim you come thru as strong as B4 - Gotta Luv me sum Queen B";;@YouTube @LilKim;;"926595662929649664";https://twitter.com/WissaGhali/status/926595662929649664
WissaGhali;2017-11-03 23:41;0;0;"J'aime une vidéo @YouTube : "Lil' Kim - Took Us A Break" à l'adresse http:// youtu.be/ft-nkKMfacQ?a .";;@YouTube;;"926595210192326656";https://twitter.com/WissaGhali/status/926595210192326656
WissaGhali;2017-11-03 23:32;0;8;"@LilKim You're the blue print of them all today's rappers. You paved the way for them! KUDOS to ya <3";;@LilKim;;"926592956978679809";https://twitter.com/WissaGhali/status/926592956978679809
WissaGhali;2017-10-30 08:34;0;0;"True";;;;"924917534805102592";https://twitter.com/WissaGhali/status/924917534805102592
WissaGhali;2017-10-30 08:30;0;0;"Erm?";;;;"924916529157890048";https://twitter.com/WissaGhali/status/924916529157890048
WissaGhali;2017-10-26 21:58;0;1;"J'aime une vidéo @YouTube : "Dope D.O.D. (Skits Vicious) - Nightmares | Music Video" à l'adresse http:// youtu.be/vRpi9K-Q9_0?a .";;@YouTube;;"923670091459330048";https://twitter.com/WissaGhali/status/923670091459330048
WissaGhali;2017-10-19 22:18;0;0;"J'aime une vidéo @YouTube : "HUAWEI Y6 UNBOXING & HANDS-ON" à l'adresse http:// youtu.be/YaHqrCY9Dfo?a .";;@YouTube;;"921138556353032192";https://twitter.com/WissaGhali/status/921138556353032192
WissaGhali;2017-10-15 03:48;0;0;"J'aime une vidéo @YouTube : "J Balvin, Willy William - Mi Gente ft. Beyoncé" à l'adresse http:// youtu.be/APHgDFRpCi0?a .";;@YouTube;;"919409725804105729";https://twitter.com/WissaGhali/status/919409725804105729
WissaGhali;2017-10-14 14:25;0;0;"Reflections. You never see the things that are so obvious. #mirrormirroronthewall … https://www. instagram.com/p/BaO1A_THjzn/";;;#mirrormirroronthewall;"919207470920290306";https://twitter.com/WissaGhali/status/919207470920290306
WissaGhali;2017-10-14 11:34;0;0;"Measuring the consequences of my actions pushes me to new… https://www. instagram.com/p/BaOheygnbYF/";;;;"919164508802654208";https://twitter.com/WissaGhali/status/919164508802654208
WissaGhali;2017-10-14 10:40;0;0;"#newmaterial #today #saturdaynight #checkmybio #checkmypage #igdaily #instagramers #insta https://www. instagram.com/p/BaObTgqnCa6/";;;#newmaterial #today #saturdaynight #checkmybio #checkmypage #igdaily #instagramers #insta;"919150918687272960";https://twitter.com/WissaGhali/status/919150918687272960
WissaGhali;2017-10-13 20:28;0;0;"I was thinking about those who say they only drink diet coke yet are on burgers and junk food.… https://www. instagram.com/p/BaM5u7VHehY/";;;;"918936614717472768";https://twitter.com/WissaGhali/status/918936614717472768
WissaGhali;2017-10-13 18:14;0;0;"@sindybayyati seriously??? https://www. instagram.com/p/BaMqcS9nATD/";;@sindybayyati;;"918902747142922241";https://twitter.com/WissaGhali/status/918902747142922241
WissaGhali;2017-10-13 17:14;0;0;"#Keyword for this #evening #creativity #thehand https://www. instagram.com/p/BaMjj-ynCyn/";;;#Keyword #evening #creativity #thehand;"918887618913345536";https://twitter.com/WissaGhali/status/918887618913345536
WissaGhali;2017-10-13 16:00;0;0;"Today, #OliGlam is on a mission @sindybayyati #back2back #nojokes #notplaying #justsayin … https://www. instagram.com/p/BaMbKZgHvEI/";;@sindybayyati;#OliGlam #back2back #nojokes #notplaying #justsayin;"918869137480470530";https://twitter.com/WissaGhali/status/918869137480470530
WissaGhali;2017-10-13 15:24;0;0;"The Gift #naturephotography #nature #landscapes #planetearth #loveyou https://www. instagram.com/p/BaMXC_4HMwW/";;;#naturephotography #nature #landscapes #planetearth #loveyou;"918860088487510017";https://twitter.com/WissaGhali/status/918860088487510017
WissaGhali;2017-10-13 11:00;0;0;"You made me cry but I brought life to my hidden strengths #stronger https://www. instagram.com/p/BaL4zLxnTxA/";;;#stronger;"918793577966309376";https://twitter.com/WissaGhali/status/918793577966309376
WissaGhali;2017-10-13 10:57;0;0;"Just because ... #tearsdryontheirown #tears #release #letgo #of #my #pains https://www. instagram.com/p/BaL4bVAH9_S/";;;#tearsdryontheirown #tears #release #letgo #of #my #pains;"918792754670505984";https://twitter.com/WissaGhali/status/918792754670505984
WissaGhali;2017-10-13 04:17;0;0;"Just posted a video https://www. instagram.com/p/BaLKTvNHzS4/";;;;"918692246207176704";https://twitter.com/WissaGhali/status/918692246207176704
WissaGhali;2017-10-13 03:25;0;0;"To make History, lots of tears were shed #RN1814 #rn1814 #rhythmnation #janetjackson #janfam … https://www. instagram.com/p/BaLEsdpnRHV/";;;#RN1814 #rn1814 #rhythmnation #janetjackson #janfam;"918678999412248576";https://twitter.com/WissaGhali/status/918678999412248576
WissaGhali;2017-10-12 22:19;0;1;"@wissaghali is getting ready #OliGlam @swissmusick https://www. instagram.com/p/BaKhiamnwHG/";;@wissaghali @swissmusick;#OliGlam;"918602149772357632";https://twitter.com/WissaGhali/status/918602149772357632
WissaGhali;2017-10-12 21:56;0;0;"Getting ready bowiecosmetics @sindybayyati #fentybeauty https://www. instagram.com/p/BaKeOyPHLpG/";;@sindybayyati;#fentybeauty;"918596253382008833";https://twitter.com/WissaGhali/status/918596253382008833
WissaGhali;2017-10-12 21:02;0;0;"Getting ready #photoshoot #makeup #creature #creation https://www. instagram.com/p/BaKY1fdH9Jw/";;;#photoshoot #makeup #creature #creation;"918582727858905088";https://twitter.com/WissaGhali/status/918582727858905088
WissaGhali;2017-10-12 18:53;0;0;"Countdown #tictoc #clock #tickingclock Patience is the mother of all virtues #patience https://www. instagram.com/p/BaKKJ70HYfm/";;;#tictoc #clock #tickingclock #patience;"918550269239222272";https://twitter.com/WissaGhali/status/918550269239222272
WissaGhali;2017-10-11 23:24;0;0;"It generally isn't a smart move to pluck on my tiny last nerve when I'm on my Wednesday Adam's… https://www. instagram.com/p/BaIEaFonchE/";;;;"918256144874909696";https://twitter.com/WissaGhali/status/918256144874909696
WissaGhali;2017-10-11 22:21;0;0;"Life is like your moods; it won't ever be the same. It morphs from one thing to another. I… https://www. instagram.com/p/BaH8WqUHCqO/";;;;"918240101582467072";https://twitter.com/WissaGhali/status/918240101582467072
WissaGhali;2017-10-11 19:13;0;0;"I feel absolutely fine and unbothered. I may repeat myself, but I don't think it is fair to… https://www. instagram.com/p/BaHnpnlHogD/";;;;"918192913900642304";https://twitter.com/WissaGhali/status/918192913900642304
WissaGhali;2017-10-11 08:55;0;0;"Today's a chilly one ⛇ @Ile-de-France, France https://www. instagram.com/p/BaGg5ReHPYp/";;@Ile;;"918037321550721024";https://twitter.com/WissaGhali/status/918037321550721024
WissaGhali;2017-10-10 19:56;0;0;"Eye C U #silver #stare #photography #blackandwhite #pictures #eyes @Ile-de-France, France https://www. instagram.com/p/BaFHu5mnJfV/";;@Ile;#silver #stare #photography #blackandwhite #pictures #eyes;"917841251902386176";https://twitter.com/WissaGhali/status/917841251902386176
WissaGhali;2017-10-10 08:45;0;0;"#Halloween is coming soon near you. You better lock the doors and windows. #Skull #ghouls … https://www. instagram.com/p/BaD66LrnYRQ/";;;#Halloween #Skull #ghouls;"917672317664354304";https://twitter.com/WissaGhali/status/917672317664354304
WissaGhali;2017-10-10 07:40;0;0;"You guys have a glamorous day today! #coffee #morningmotivation #mornings #wakeup #fine and… https://www. instagram.com/p/BaDzfjvn8JO/";;;#coffee #morningmotivation #mornings #wakeup #fine;"917656011674128387";https://twitter.com/WissaGhali/status/917656011674128387
WissaGhali;2017-10-09 17:48;0;0;"J'aime une vidéo @YouTube : "Janet Jackson - State of the World Tour (Dancer Reunion Introductions, Full)" à l'adresse";;@YouTube;;"917446656978771969";https://twitter.com/WissaGhali/status/917446656978771969
WissaGhali;2017-10-08 22:55;0;0;"I get the feeling we are connected through this. #RN1814 #rhythmnation #janetjackson Land a… https://www. instagram.com/p/BaASqdHHWLB/";;;#RN1814 #rhythmnation #janetjackson;"917161591405035520";https://twitter.com/WissaGhali/status/917161591405035520
WissaGhali;2017-10-08 21:56;0;0;"#followme #snapchat #addme https://www. instagram.com/p/BaAL8FenZwg/";;;#followme #snapchat #addme;"917146812921806848";https://twitter.com/WissaGhali/status/917146812921806848
WissaGhali;2017-10-07 12:35;0;1;"Wanna have a nice Chinon with me? #wine #winetasting #winery #wines #chinon @Tours, France https://www. instagram.com/p/BZ8m1ohnpnm/";;@Tours;#wine #winetasting #winery #wines #chinon;"916643016928104449";https://twitter.com/WissaGhali/status/916643016928104449
WissaGhali;2017-10-06 16:55;0;0;"Do you think it is fair to dim the brightest light because the other ones aren't? It isn't.… https://www. instagram.com/p/BZ6f1yEndyw/";;;;"916346150621294592";https://twitter.com/WissaGhali/status/916346150621294592
WissaGhali;2017-10-06 12:51;0;0;"Volontiers? #mdr #lol #ptdr https://www. instagram.com/p/BZ6D8JFnUlu/";;;#mdr #lol #ptdr;"916284809428664321";https://twitter.com/WissaGhali/status/916284809428664321
WissaGhali;2017-10-06 10:44;0;0;"#hello #sunshines https://www. instagram.com/p/BZ51YLsn2nD/";;;#hello #sunshines;"916252771485081600";https://twitter.com/WissaGhali/status/916252771485081600
WissaGhali;2017-10-06 10:27;0;1;"Do not come for my queen janetjackson , or else sotwkids #janetjackson #janet #empress … https://www. instagram.com/p/BZ5zbMeHVLY/";;;#janetjackson #janet #empress;"916248476891172867";https://twitter.com/WissaGhali/status/916248476891172867
WissaGhali;2017-10-06 09:33;0;0;"#cottoncandy up in the #sky for the #taking #roadtrip https://www. instagram.com/p/BZ5tSSwn6hj/";;;#cottoncandy #sky #taking #roadtrip;"916234971244908544";https://twitter.com/WissaGhali/status/916234971244908544
WissaGhali;2017-10-06 09:17;0;0;"To one of my greatest MUA supporters out there @sindybayyati With #love Oli #bear #support … https://www. instagram.com/p/BZ5rXnanGfc/";;@sindybayyati;#love #bear #support;"916230836873134080";https://twitter.com/WissaGhali/status/916230836873134080
WissaGhali;2017-10-06 05:18;0;1;"#rerd #SNCF #Transilien je vais vous faire rembourser le trajet en train que vous m'avez fait louper. Vous exagérez avec vos incidents!!!!";;;#rerd #SNCF #Transilien;"916170777736728576";https://twitter.com/WissaGhali/status/916170777736728576
WissaGhali;2017-10-05 22:33;0;0;"";;;;"916068909442326528";https://twitter.com/WissaGhali/status/916068909442326528
WissaGhali;2017-10-02 22:27;0;0;"J'aime une vidéo @YouTube : "Janet Jackson - BURNITUP! (feat. Missy Elliott) / Presented By Tobias Ellehammer #ThatsHowIBURNITUP " à";;@YouTube;#ThatsHowIBURNITUP;"914980197979607046";https://twitter.com/WissaGhali/status/914980197979607046
WissaGhali;2017-10-02 21:03;0;0;"Après les #haribo , le #dessert https://www. instagram.com/p/BZwpD5mnG-2/";;;#haribo #dessert;"914959045836070912";https://twitter.com/WissaGhali/status/914959045836070912
WissaGhali;2017-10-02 20:51;0;0;"#sweettooth #tagada #haribo https://www. instagram.com/p/BZwntnGHzaG/";;;#sweettooth #tagada #haribo;"914956079972454400";https://twitter.com/WissaGhali/status/914956079972454400
WissaGhali;2017-10-02 20:47;0;0;"Tagada Power #haribo https://www. instagram.com/p/BZwnQpqH9wS/";;;#haribo;"914955090389221377";https://twitter.com/WissaGhali/status/914955090389221377
WissaGhali;2017-09-29 23:44;0;0;"#OliGlam #OliGlamFam #OliGlamJam #OliGlamSlam https://www. instagram.com/p/BZpNDX4nNTK/";;;#OliGlam #OliGlamFam #OliGlamJam #OliGlamSlam;"913912292147728384";https://twitter.com/WissaGhali/status/913912292147728384
WissaGhali;2017-09-29 23:10;0;0;"Love you girl! @JanetJackson";;@JanetJackson;;"913903853061509120";https://twitter.com/WissaGhali/status/913903853061509120
WissaGhali;2017-09-26 21:33;0;0;"J'aime une vidéo @YouTube : "Janet Jackson (Live) - Control" à l'adresse http:// youtu.be/XkkKwtgt6Ec?a .";;@YouTube;;"912792334210928642";https://twitter.com/WissaGhali/status/912792334210928642
WissaGhali;2017-09-25 21:40;0;0;"Voilà https://www. instagram.com/p/BZerryXnhKQ/";;;;"912431557075488768";https://twitter.com/WissaGhali/status/912431557075488768
WissaGhali;2017-09-25 14:26;0;0;"Frowning #models comity. #clone #people #differences #folks #photography #triple #threat https://www. instagram.com/p/BZd6Ah9HmQ_/";;;#models #clone #people #differences #folks #photography #triple #threat;"912322302347321344";https://twitter.com/WissaGhali/status/912322302347321344
WissaGhali;2017-09-25 08:23;0;0;"Why so serious? #forreal #easy #lifeisbeautiful #chill #laugh #hangout #besilly #goofy #nuts https://www. instagram.com/p/BZdQd9VHBJA/";;;#forreal #easy #lifeisbeautiful #chill #laugh #hangout #besilly #goofy #nuts;"912230951505285120";https://twitter.com/WissaGhali/status/912230951505285120
WissaGhali;2017-09-24 20:45;0;0;"Grand moment de réflexion. #conversation #problème #existentiel https://www. instagram.com/p/BZcAj1_HHMD/";;;#conversation #probl #existentiel;"912055299401383936";https://twitter.com/WissaGhali/status/912055299401383936
WissaGhali;2017-09-24 11:06;0;0;"Fishy, isn't it? #fish #park #fun #happysunday @Center Parcs Les Hauts de Bruyères https://www. instagram.com/p/BZa-VZsncof/";;@Center;#fish #park #fun #happysunday;"911909606967906304";https://twitter.com/WissaGhali/status/911909606967906304
WissaGhali;2017-09-22 15:58;0;0;"What are these 2 guys talking about? #clone #orphanblack #agreement #disagreement … https://www. instagram.com/p/BZWWJ-TngyQ/";;;#clone #orphanblack #agreement #disagreement;"911258298317500417";https://twitter.com/WissaGhali/status/911258298317500417
WissaGhali;2017-09-22 15:23;0;0;"Sometimes you have to sweep before your doorstep and quit passing on judgments. You do you, we… https://www. instagram.com/p/BZWSJ2FHx2F/";;;;"911249511468683265";https://twitter.com/WissaGhali/status/911249511468683265
