username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_TMion;2017-11-03 23:57;1;0;"Take things into consideration https:// twitter.com/_niccolle__/st atus/926306539396354049 …";;;;"926599353975918592";https://twitter.com/_TMion/status/926599353975918592
_TMion;2017-11-03 23:56;0;0;"https:// twitter.com/wolfyneyda/sta tus/926238636244422659 …";;;;"926599040703385600";https://twitter.com/_TMion/status/926599040703385600
_TMion;2017-11-03 23:55;0;1;"@kentaishaharris https:// twitter.com/xodominatrix/s tatus/926594676685197317 …";;@kentaishaharris;;"926598837938114560";https://twitter.com/_TMion/status/926598837938114560
_TMion;2017-11-03 23:55;2;1;"And female https:// twitter.com/yungmook3_/sta tus/926575726291226624 …";;;;"926598768778268672";https://twitter.com/_TMion/status/926598768778268672
_TMion;2017-11-03 23:48;0;0;"And December https:// twitter.com/juicy_isbliss/ status/926249669210013696 …";;;;"926597051957248001";https://twitter.com/_TMion/status/926597051957248001
_TMion;2017-11-03 21:58;0;1;"Our new color pic.twitter.com/84u3NkKqzV";;;;"926569243461767168";https://twitter.com/_TMion/status/926569243461767168
_TMion;2017-10-31 18:19;0;0;"How";;;;"925427074202038272";https://twitter.com/_TMion/status/925427074202038272
_TMion;2017-10-31 06:27;0;0;"Baby";;;;"925247912099053573";https://twitter.com/_TMion/status/925247912099053573
_TMion;2017-10-12 21:00;0;0;"Fts";;;;"918582282549710848";https://twitter.com/_TMion/status/918582282549710848
_TMion;2017-10-12 20:45;0;0;"";;;;"918578367074570240";https://twitter.com/_TMion/status/918578367074570240
_TMion;2017-10-12 18:21;1;1;"Why does everyone think scorpios are big freaks ... that's false it's us capricorns";;;;"918542164744986625";https://twitter.com/_TMion/status/918542164744986625
_TMion;2017-10-12 01:02;0;0;"Inosmsrbn";;;;"918280608534712322";https://twitter.com/_TMion/status/918280608534712322
_TMion;2017-10-08 21:42;0;0;"Just pray about it love";;;;"917143078217101312";https://twitter.com/_TMion/status/917143078217101312
_TMion;2017-10-08 02:32;0;0;"Just when everything seems like it's getting better for you everything falls out of place again";;;;"916853780293046275";https://twitter.com/_TMion/status/916853780293046275
_TMion;2017-10-01 22:20;1;2;"I’ve been through enough when can I be happy";;;;"914616054986526721";https://twitter.com/_TMion/status/914616054986526721
_TMion;2017-10-01 22:20;0;0;"God can you please explain";;;;"914616027853524992";https://twitter.com/_TMion/status/914616027853524992
_TMion;2017-09-29 13:12;0;0;"Thank you";;;;"913753446280564736";https://twitter.com/_TMion/status/913753446280564736
_TMion;2017-09-29 12:52;0;0;"I’m ready for some settling down Bc I’m ready to build and start a family in some years";;;;"913748400268554240";https://twitter.com/_TMion/status/913748400268554240
_TMion;2017-09-25 16:17;1;0;"I can’t say exactly how I’m feeling right now";;;;"912350446047686657";https://twitter.com/_TMion/status/912350446047686657
_TMion;2017-09-23 13:46;3;1;"pic.twitter.com/egh3vPNQYY";;;;"911587679120367617";https://twitter.com/_TMion/status/911587679120367617
