username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
allison_b216;2017-11-03 23:59;0;1;"Well it is a biker rally";;;;"926599724840480768";https://twitter.com/allison_b216/status/926599724840480768
allison_b216;2017-11-03 23:47;0;1;"The booing of state and federal elected officials at the @astros parade was hilarious!";;@astros;;"926596607528841216";https://twitter.com/allison_b216/status/926596607528841216
allison_b216;2017-11-03 21:38;0;0;"When @ridemetro needs a police escort #AstrosParade pic.twitter.com/PPy57w0QA1";;@ridemetro;#AstrosParade;"926564253502443520";https://twitter.com/allison_b216/status/926564253502443520
allison_b216;2017-11-03 12:03;3;26;"@BrookeBCNN great piece about family in South Korea. My coworker is there now but family is here in Texas. Went through Harvey w/o him.";;@BrookeBCNN;;"926419586953699329";https://twitter.com/allison_b216/status/926419586953699329
allison_b216;2017-11-03 01:24;0;0;"The Washington Post: Astros are the latest team that will be asked whether they’ll visit Trump at the White House http:// wapo.st/2zZJuGM";;;;"926258772678496257";https://twitter.com/allison_b216/status/926258772678496257
allison_b216;2017-11-03 01:18;0;0;"The Washington Post: Jose Altuve’s World Series triumph gives shattered Venezuela something to celebrate http:// wapo.st/2A1Zhoi";;;;"926257270387871745";https://twitter.com/allison_b216/status/926257270387871745
allison_b216;2017-11-03 01:11;0;0;"The Washington Post: Understaffed Weather Service scales back balloon launches that collect vital forecast data http:// wapo.st/2gXvAxn";;;;"926255374549880832";https://twitter.com/allison_b216/status/926255374549880832
allison_b216;2017-11-03 00:49;0;0;"So I'm wondering if @astros would go to White House if invited. I hoping not, seeing how Puerto Rico has been treated.";;@astros;;"926249896944066560";https://twitter.com/allison_b216/status/926249896944066560
allison_b216;2017-11-02 21:44;0;0;"Umm, the whole team is not very good. Plus everyone is injured. Could be surprising. Look at what the Astros just did!";;;;"926203471384252417";https://twitter.com/allison_b216/status/926203471384252417
allison_b216;2017-11-02 21:43;0;3;"On another note, @TweetDeck spell check says Kaepernick should be Pumpernickel.";;@TweetDeck;;"926203138020986881";https://twitter.com/allison_b216/status/926203138020986881
allison_b216;2017-11-02 21:42;0;0;"Colin Kaepernick is just sitting a waiting.";;;;"926202824534392832";https://twitter.com/allison_b216/status/926202824534392832
allison_b216;2017-11-02 21:40;0;0;"High schoolers at Academy last night were telling their mom they wanted to go to parade. Said their dad would take them out of school.";;;;"926202266088083456";https://twitter.com/allison_b216/status/926202266088083456
allison_b216;2017-11-02 21:37;0;0;"So you're saying it's not too long....well 2 hours ago.";;;;"926201660900339712";https://twitter.com/allison_b216/status/926201660900339712
allison_b216;2017-11-02 20:56;0;2;"haha! https:// twitter.com/galvestonisd/s tatus/926191291951656961 …";;;;"926191398944198657";https://twitter.com/allison_b216/status/926191398944198657
allison_b216;2017-11-02 20:20;1;1;"What a moron! So sad to say he's a Texan and an Aggie. https:// twitter.com/CBSNews/status /926125508751953921 …";;;;"926182135224045569";https://twitter.com/allison_b216/status/926182135224045569
allison_b216;2017-11-02 20:04;0;0;"Ok, I'm ready for a nap.";;;;"926178266867752960";https://twitter.com/allison_b216/status/926178266867752960
allison_b216;2017-11-02 20:03;0;0;"How? It's sold out?!!";;;;"926177886075342848";https://twitter.com/allison_b216/status/926177886075342848
allison_b216;2017-11-02 17:35;0;0;"Still nada @academy in Galveston.";;@academy;;"926140777159421953";https://twitter.com/allison_b216/status/926140777159421953
allison_b216;2017-11-02 16:52;0;0;"Can my work be cancelled? Yeah not likely. https:// twitter.com/HoustonChron/s tatus/926129037906468864 …";;;;"926129948389232642";https://twitter.com/allison_b216/status/926129948389232642
allison_b216;2017-11-02 15:55;0;0;"WOOHOO!! It wasn't a dream!";;;;"926115495803260931";https://twitter.com/allison_b216/status/926115495803260931
allison_b216;2017-11-02 15:39;0;1;"Bummer that cash passport transfers don't count.";;;;"926111570832297984";https://twitter.com/allison_b216/status/926111570832297984
allison_b216;2017-11-02 14:01;0;0;"I shall try again!";;;;"926086931825426432";https://twitter.com/allison_b216/status/926086931825426432
allison_b216;2017-11-02 13:11;0;0;"I did not get anything. Left about 1:30 when they said all they had was kids stuff.";;;;"926074289656401920";https://twitter.com/allison_b216/status/926074289656401920
allison_b216;2017-11-02 12:33;0;0;"Final @MLB Postseason Picture @astros #EarnedHistory #WorldSeries #Champions pic.twitter.com/LCUWVK3WiS";;@MLB @astros;#EarnedHistory #WorldSeries #Champions;"926064842766798849";https://twitter.com/allison_b216/status/926064842766798849
allison_b216;2017-11-02 06:50;0;0;"Huh? https:// twitter.com/stewardsfolly/ status/925937277624205313 …";;;;"925978343438155776";https://twitter.com/allison_b216/status/925978343438155776
allison_b216;2017-11-02 05:03;0;2;"Haha! We are the most calm group I've ever been around";;;;"925951498454032385";https://twitter.com/allison_b216/status/925951498454032385
allison_b216;2017-11-02 04:55;0;0;"crazy! Yeah I wasn't expecting it to be like this here. I parked at Goodwill.";;;;"925949458969497600";https://twitter.com/allison_b216/status/925949458969497600
allison_b216;2017-11-02 04:50;0;0;"are your stores putting limits on #of items people can buy?";;;#of;"925948187801776128";https://twitter.com/allison_b216/status/925948187801776128
allison_b216;2017-11-02 04:38;0;0;"I'm sure Webster one is crazy too";;;;"925945206494593024";https://twitter.com/allison_b216/status/925945206494593024
allison_b216;2017-11-02 04:36;0;0;"just open to buy world series stuff";;;;"925944772199698432";https://twitter.com/allison_b216/status/925944772199698432
allison_b216;2017-11-02 04:33;3;0;"from door to salsas pic.twitter.com/RtpVZ3WAJ7";;;;"925943826233085954";https://twitter.com/allison_b216/status/925943826233085954
allison_b216;2017-11-02 04:21;2;4;"Academy status: nuts! #WorldSeries @astros #galveston #EarnHistory";;@astros;#WorldSeries #galveston #EarnHistory;"925940992779399168";https://twitter.com/allison_b216/status/925940992779399168
allison_b216;2017-11-02 04:01;1;4;"OMG! OMG! @astros #EarnHistory #WorldSeries 2017 Champions!!!";;@astros;#EarnHistory #WorldSeries;"925935996759363585";https://twitter.com/allison_b216/status/925935996759363585
allison_b216;2017-11-02 03:38;0;0;"Ok, that was an awesome @geico commercial. #sloth";;@geico;#sloth;"925929988217556994";https://twitter.com/allison_b216/status/925929988217556994
allison_b216;2017-11-02 03:36;0;0;"Anyone have eyes on @academy on the Seawall?";;@academy;;"925929483940585472";https://twitter.com/allison_b216/status/925929483940585472
allison_b216;2017-11-02 03:22;0;1;"I mean Bregman, it's getting late.";;;;"925926098562674688";https://twitter.com/allison_b216/status/925926098562674688
allison_b216;2017-11-02 03:18;1;2;"Yo, announcer guy Bergman stole earlier in this game! #WorldSeries";;;#WorldSeries;"925925066671607809";https://twitter.com/allison_b216/status/925925066671607809
allison_b216;2017-11-02 03:06;0;0;"NO STAY!!";;;;"925922065764552704";https://twitter.com/allison_b216/status/925922065764552704
allison_b216;2017-11-02 02:52;0;0;"that happens to me too with Lego sets. I swear they just put extra pieces in to screw with your head.";;;;"925918521766408192";https://twitter.com/allison_b216/status/925918521766408192
allison_b216;2017-11-02 02:42;0;4;"thank you, Jacob! @astros fans appreciate it!";;@astros;;"925915870412656640";https://twitter.com/allison_b216/status/925915870412656640
allison_b216;2017-11-02 02:40;0;2;"You need a body double!";;;;"925915480166162432";https://twitter.com/allison_b216/status/925915480166162432
allison_b216;2017-11-02 01:57;0;0;"invent time travel";;;;"925904755649630208";https://twitter.com/allison_b216/status/925904755649630208
allison_b216;2017-11-02 01:37;0;0;"I can't watch this";;;;"925899529567789056";https://twitter.com/allison_b216/status/925899529567789056
allison_b216;2017-11-02 01:17;0;0;"a whole cow please";;;;"925894601709322240";https://twitter.com/allison_b216/status/925894601709322240
allison_b216;2017-11-02 01:15;0;0;"";;;;"925893986270801920";https://twitter.com/allison_b216/status/925893986270801920
allison_b216;2017-11-02 01:08;0;0;"Springer Dinger! @astros #EarnHistory #WorldSeries";;@astros;#EarnHistory #WorldSeries;"925892422491451392";https://twitter.com/allison_b216/status/925892422491451392
allison_b216;2017-11-02 01:02;0;0;"they are having a party there to be ironic, I'm pretty sure. People who started the krewe work at GHF";;;;"925890915071332352";https://twitter.com/allison_b216/status/925890915071332352
allison_b216;2017-11-02 00:55;0;0;"but seriously, it has been deconsecrated.";;;;"925888943350050816";https://twitter.com/allison_b216/status/925888943350050816
allison_b216;2017-11-02 00:52;0;0;"Thank goodness!";;;;"925888376523382785";https://twitter.com/allison_b216/status/925888376523382785
allison_b216;2017-11-02 00:51;0;0;"I don't know anything about that";;;;"925888019537674240";https://twitter.com/allison_b216/status/925888019537674240
allison_b216;2017-11-02 00:36;0;0;"it's not a real church anymore. Only a historical building, managed by ghf";;;;"925884224607055872";https://twitter.com/allison_b216/status/925884224607055872
allison_b216;2017-11-02 00:35;0;0;"that pitch count!";;;;"925884010944974848";https://twitter.com/allison_b216/status/925884010944974848
allison_b216;2017-11-02 00:34;0;0;"Haha! No Bible studying there.";;;;"925883854325452800";https://twitter.com/allison_b216/status/925883854325452800
allison_b216;2017-11-01 20:27;1;1;"Now we wait. https:// twitter.com/astros/status/ 925821156548001792 …";;;;"925821575294799874";https://twitter.com/allison_b216/status/925821575294799874
allison_b216;2017-11-01 20:26;0;0;"Man, I wanna know what happens in Chicago!";;;;"925821248218828801";https://twitter.com/allison_b216/status/925821248218828801
allison_b216;2017-11-01 19:58;0;1;"Exactly, unfortunately. I'm just not in the mood for it this year.";;;;"925814381513986049";https://twitter.com/allison_b216/status/925814381513986049
allison_b216;2017-11-01 19:35;0;1;"Not me.";;;;"925808516538957825";https://twitter.com/allison_b216/status/925808516538957825
allison_b216;2017-11-01 15:43;0;0;"GOOD! https:// twitter.com/HoustonPubMedi a/status/925749992660324357 …";;;;"925750108507000834";https://twitter.com/allison_b216/status/925750108507000834
allison_b216;2017-11-01 13:25;0;2;"Isn't that one of the perks of having kids? I mean you have to put up with their crap, sometimes its literally their crap!";;;;"925715431083692033";https://twitter.com/allison_b216/status/925715431083692033
allison_b216;2017-11-01 04:00;1;78;"Brilliant!";;;;"925573230613745665";https://twitter.com/allison_b216/status/925573230613745665
allison_b216;2017-11-01 03:56;0;1;"No, we're not the Pirates. Wrong team.";;;;"925572231605964800";https://twitter.com/allison_b216/status/925572231605964800
allison_b216;2017-11-01 03:55;0;0;"We better!";;;;"925571865460035584";https://twitter.com/allison_b216/status/925571865460035584
allison_b216;2017-11-01 03:44;0;0;"Same bat time, same bat channel @astros peeps. #WorldSeries";;@astros;#WorldSeries;"925569312131346436";https://twitter.com/allison_b216/status/925569312131346436
allison_b216;2017-11-01 03:44;0;0;"You can eat your candy now.";;;;"925569134418714624";https://twitter.com/allison_b216/status/925569134418714624
allison_b216;2017-11-01 03:42;0;0;"Game 7";;;;"925568694742372352";https://twitter.com/allison_b216/status/925568694742372352
allison_b216;2017-11-01 03:41;0;0;"My dog dresses up like a dog every year. She's not very creative.";;;;"925568460184104960";https://twitter.com/allison_b216/status/925568460184104960
allison_b216;2017-11-01 03:33;0;0;"Are people actually watching the news??";;;;"925566400458121216";https://twitter.com/allison_b216/status/925566400458121216
allison_b216;2017-11-01 03:19;0;1;"Well, if the @astros lose everyone can eat the candy they didn't give out and go buy more tomorrow at 50% off.";;@astros;;"925562935744843776";https://twitter.com/allison_b216/status/925562935744843776
allison_b216;2017-11-01 03:12;0;0;"That iPhone commercial made me happy I don't own an iPhone.";;;;"925561277153513472";https://twitter.com/allison_b216/status/925561277153513472
