username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bonatonit;2017-11-03 23:48;0;8;"An amazing Jesuit educator and leader! Congratulations to Alan and @sluhjrbills ! #AMDG https:// twitter.com/sluhjrbills/st atus/926554530971570182 …";;@sluhjrbills;#AMDG;"926597091316715521";https://twitter.com/bonatonit/status/926597091316715521
bonatonit;2017-11-01 14:57;0;4;"Congrats! https:// twitter.com/dazzo_11/statu s/925503565686280193 …";;;;"925738660884041728";https://twitter.com/bonatonit/status/925738660884041728
bonatonit;2017-10-28 15:43;2;10;"Great job, Ben! Thanks to coaches and families for another impressive season. https:// twitter.com/desmettrackxc/ status/924288374109888512 …";;;;"924300633230008320";https://twitter.com/bonatonit/status/924300633230008320
bonatonit;2017-10-27 11:53;1;7;"Proud to be a @DeSmetJesuitHS Spartan. Players left it on the field. Crowd was amazing. Thanks esp. to parents & seniors 4 a great season. https:// twitter.com/desmetsoccer/s tatus/923732956098777088 …";;@DeSmetJesuitHS;;"923880348907425792";https://twitter.com/bonatonit/status/923880348907425792
bonatonit;2017-10-25 20:27;1;4;"Some shots from my afternoon stroll @desmetjesuiths #findingGodinallthings @De Smet Jesuit High… https://www. instagram.com/p/BarzOb4luj8/";;@desmetjesuiths @De;#findingGodinallthings;"923284925461168132";https://twitter.com/bonatonit/status/923284925461168132
bonatonit;2017-10-25 20:23;0;2;"pic.twitter.com/vsnOQJdihj";;;;"923283972850843649";https://twitter.com/bonatonit/status/923283972850843649
bonatonit;2017-10-23 03:02;2;6;"Welcome Mr. Miraflor, S.J. Can’t wait to hear you with the @DeSmetBlackRobe choir too! @JesuitsUCS https:// twitter.com/desmetjesuiths /status/922272127352492035 …";;@DeSmetBlackRobe @JesuitsUCS;;"922297246900776960";https://twitter.com/bonatonit/status/922297246900776960
bonatonit;2017-10-22 12:58;3;13;"Incredible talent, hard work & HUMOR on display this weekend! Amazing. Congratulations cast and crew. #allinthetiming #findingGodinallthings https:// twitter.com/desmetjesuiths /status/921930216360108032 …";;;#allinthetiming #findingGodinallthings;"922084828165615622";https://twitter.com/bonatonit/status/922084828165615622
bonatonit;2017-10-21 20:34;3;17;"Proud of @DeSmetJesuitFB on a hard-fought season #dsjaz is proud 2 for sure. pic.twitter.com/YQYqUdMbiM";;@DeSmetJesuitFB;#dsjaz;"921837203977920518";https://twitter.com/bonatonit/status/921837203977920518
bonatonit;2017-10-20 22:54;0;3;"Jesuit man for and with others. Thankful for Mr. Farrell as a #rolemodel in #answeringthecall and #doingtheheavylifting https:// twitter.com/stlouisreview/ status/921487935010230272 …";;;#rolemodel #answeringthecall #doingtheheavylifting;"921510055392038912";https://twitter.com/bonatonit/status/921510055392038912
bonatonit;2017-10-20 12:21;2;5;"They are answering our call to do nothing less than transform the world. . . And have a great high school experience! #missionmen thx @psboz https:// twitter.com/psboz/status/9 21211052284694533 …";;@psboz;#missionmen;"921350781235802112";https://twitter.com/bonatonit/status/921350781235802112
bonatonit;2017-10-19 01:10;2;3;"Congrats, Kevin! AMDG https:// twitter.com/desmetjesuiths /status/920738092272832514 …";;;;"920819418149605376";https://twitter.com/bonatonit/status/920819418149605376
bonatonit;2017-10-17 20:58;1;3;"Grateful for the support of our greater community during this time of loss. The flood of prayers has been overwhelming. #gratitude https:// twitter.com/wearechaminade /status/920046136236429313 …";;;#gratitude;"920393695962238976";https://twitter.com/bonatonit/status/920393695962238976
bonatonit;2017-10-17 16:21;1;4;"Calming, safe space for critiques! “So, what specifically needs work?” #spartists #criticalthinking pic.twitter.com/1NUt93ScIj";;;#spartists #criticalthinking;"920323929394372608";https://twitter.com/bonatonit/status/920323929394372608
bonatonit;2017-10-17 00:11;3;25;"Congratulations on our senior soccer players and parents. #family pic.twitter.com/APBvfHb2ds";;;#family;"920079679205335040";https://twitter.com/bonatonit/status/920079679205335040
bonatonit;2017-10-14 13:26;1;4;"Loved seeing these guys grit it out. #proudprincipal https:// twitter.com/DeSmetJesuitHS /status/919032360087277568 …";;;#proudprincipal;"919192809340588033";https://twitter.com/bonatonit/status/919192809340588033
bonatonit;2017-10-14 01:28;4;27;"Senior night with @DeSmetJesuitFB and #family pic.twitter.com/GQY7dgF1Qj";;@DeSmetJesuitFB;#family;"919012020585926656";https://twitter.com/bonatonit/status/919012020585926656
bonatonit;2017-10-14 01:27;1;8;"Congrats to our senior swimmers! Great people, great families! pic.twitter.com/aGbJ2QqrL6";;;;"919011699843387392";https://twitter.com/bonatonit/status/919011699843387392
bonatonit;2017-10-13 00:52;1;3;"I fall into the “love it” camp myself. Fun #stl connections in the great story by @ColleenDulle https:// twitter.com/americamag/sta tus/918631621737185280 …";;@ColleenDulle;#stl;"918640645320921088";https://twitter.com/bonatonit/status/918640645320921088
bonatonit;2017-10-08 13:04;0;2;"Great job, Spartans! https:// twitter.com/_ultimatelax/s tatus/916748829789171714 …";;;;"917012925335957504";https://twitter.com/bonatonit/status/917012925335957504
