username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
caitysworld;2017-11-03 23:54;0;0;"Well this put me in tears. Thank you for being such an inspiration and such a wonderful soul. God bless";;;;"926598561202089989";https://twitter.com/caitysworld/status/926598561202089989
caitysworld;2017-11-03 23:53;0;0;"Well this warmed my heart and had me in tears. Thank you to all who support #HockeyFightsCancer https:// twitter.com/sensfoundation /status/926556611094736898 …";;;#HockeyFightsCancer;"926598332788690950";https://twitter.com/caitysworld/status/926598332788690950
caitysworld;2017-11-03 02:35;0;0;"Figures...";;;;"926276739214594048";https://twitter.com/caitysworld/status/926276739214594048
caitysworld;2017-11-03 01:11;0;0;"Rask!! #canes";;;#canes;"926255588300001281";https://twitter.com/caitysworld/status/926255588300001281
caitysworld;2017-11-02 19:41;0;0;"";;;;"926172402064809985";https://twitter.com/caitysworld/status/926172402064809985
caitysworld;2017-11-01 15:44;0;1;"Heal quickly buddy. We will miss you! @brettpesce22";;@brettpesce22;;"925750493099544576";https://twitter.com/caitysworld/status/925750493099544576
caitysworld;2017-10-31 20:37;0;0;"";;;;"925461666690715649";https://twitter.com/caitysworld/status/925461666690715649
caitysworld;2017-10-31 20:36;0;0;"";;;;"925461551787765761";https://twitter.com/caitysworld/status/925461551787765761
caitysworld;2017-10-31 18:19;0;0;"Oh my goodness this is precious";;;;"925427116325396481";https://twitter.com/caitysworld/status/925427116325396481
caitysworld;2017-10-31 18:19;0;0;"";;;;"925427005646147584";https://twitter.com/caitysworld/status/925427005646147584
caitysworld;2017-10-31 17:11;0;1;"Awesome!!";;;;"925410021508251648";https://twitter.com/caitysworld/status/925410021508251648
caitysworld;2017-10-31 16:56;0;0;"Thank goodness he's alright";;;;"925406226023886848";https://twitter.com/caitysworld/status/925406226023886848
caitysworld;2017-10-31 16:55;0;0;"not cool. Not cool at all";;;;"925405768408600576";https://twitter.com/caitysworld/status/925405768408600576
caitysworld;2017-10-29 23:26;0;0;"Someone #welpdrink for me because my current diet is not allowing such activities... #canes";;;#welpdrink #canes;"924779378873192449";https://twitter.com/caitysworld/status/924779378873192449
caitysworld;2017-10-29 23:08;0;2;"Take pictures! And some short video if possible!";;;;"924775054801539072";https://twitter.com/caitysworld/status/924775054801539072
caitysworld;2017-10-29 22:34;0;2;"Wish I could be there. Have a great show!";;;;"924766402824867840";https://twitter.com/caitysworld/status/924766402824867840
caitysworld;2017-10-29 02:43;0;1;"https:// twitter.com/BabyAnimalPics /status/924434263952449536 …";;;;"924466650426036225";https://twitter.com/caitysworld/status/924466650426036225
caitysworld;2017-10-28 01:49;0;0;"#1 Keep possession and SCORE during a power play 2#Don't leave Schenn alone #Redvolution";;;#1 #Don #Redvolution;"924090622222458885";https://twitter.com/caitysworld/status/924090622222458885
caitysworld;2017-10-28 01:02;0;0;"Beautiful";;;;"924078985880985600";https://twitter.com/caitysworld/status/924078985880985600
caitysworld;2017-10-28 01:01;0;0;"";;;;"924078628803108864";https://twitter.com/caitysworld/status/924078628803108864
caitysworld;2017-10-28 00:55;0;0;"@kuokka22 Hoping to see you back in the lineup and kicking some ass! #Redvolution";;@kuokka22;#Redvolution;"924077056056537088";https://twitter.com/caitysworld/status/924077056056537088
caitysworld;2017-10-28 00:51;0;1;"I hope he's just banged up and nothing is dislocated or broken. He was in pain though";;;;"924076138640617473";https://twitter.com/caitysworld/status/924076138640617473
caitysworld;2017-10-28 00:46;0;0;"One of those shots needed to go in...";;;;"924074754658750464";https://twitter.com/caitysworld/status/924074754658750464
caitysworld;2017-10-28 00:34;0;0;"I agree, right elbow/arm/wrist. Or so it looked like anyway";;;;"924071801143078912";https://twitter.com/caitysworld/status/924071801143078912
caitysworld;2017-10-28 00:33;0;0;"Looked like he was favoring his right arm/wrist, but it was hard to tell by the camera angle that I was given here at home.";;;;"924071528634908672";https://twitter.com/caitysworld/status/924071528634908672
caitysworld;2017-10-27 23:53;0;0;"";;;;"924061460359270400";https://twitter.com/caitysworld/status/924061460359270400
caitysworld;2017-10-27 23:51;0;0;"Really appreciating the pressure that McGinn is applying lately.";;;;"924060919700905986";https://twitter.com/caitysworld/status/924060919700905986
caitysworld;2017-10-27 23:47;0;0;"Goodness why doesn't Aho shoot the puck?! #canes #Redvolution";;;#canes #Redvolution;"924060039941324800";https://twitter.com/caitysworld/status/924060039941324800
caitysworld;2017-10-27 01:05;0;0;"";;;;"923717295318491136";https://twitter.com/caitysworld/status/923717295318491136
caitysworld;2017-10-27 00:16;0;3;"Well I'm TRYING to watch from my living room, but NHL TV is having some extreme difficulty...";;;;"923704861786439680";https://twitter.com/caitysworld/status/923704861786439680
caitysworld;2017-10-25 02:32;0;0;"Really need to rethink the coaching for the PP. I understand he is a staple, but it's not working. The men deserve a better shot.";;;;"923014459282530304";https://twitter.com/caitysworld/status/923014459282530304
caitysworld;2017-10-25 01:33;0;0;"...";;;;"922999517309427712";https://twitter.com/caitysworld/status/922999517309427712
caitysworld;2017-10-25 01:32;0;0;"I have been questioning the capability of the PP coach for years... I know that is treading on very thin ice but seriously...";;;;"922999398228885504";https://twitter.com/caitysworld/status/922999398228885504
caitysworld;2017-10-25 01:30;0;0;"Well that's typical";;;;"922998758849122304";https://twitter.com/caitysworld/status/922998758849122304
caitysworld;2017-10-25 01:04;0;0;"Slavin is gold. Pure gold. #Redvolution";;;#Redvolution;"922992134013190145";https://twitter.com/caitysworld/status/922992134013190145
caitysworld;2017-10-25 00:34;0;0;"Fleury appreciation tweet for pulling the TB player off of Skinner because we all know the Skinny is not a fighter.";;;;"922984691153719296";https://twitter.com/caitysworld/status/922984691153719296
caitysworld;2017-10-24 23:44;0;0;"So should Williams";;;;"922972011068121099";https://twitter.com/caitysworld/status/922972011068121099
caitysworld;2017-10-24 23:27;0;1;"Serious question: How in the world can we make our PP better?? We desperately need a kick in the trousers when it comes to the PP. #canes20";;;#canes20;"922967904018190336";https://twitter.com/caitysworld/status/922967904018190336
caitysworld;2017-10-22 02:38;1;2;"@JohnForslund You are by far the best commentator in the business! So animated! So happy to have you!";;@JohnForslund;;"921928605629911040";https://twitter.com/caitysworld/status/921928605629911040
caitysworld;2017-10-21 02:20;0;0;"";;;;"921561709394956290";https://twitter.com/caitysworld/status/921561709394956290
caitysworld;2017-10-20 22:50;0;0;"Hoping for quick recoveries for Gauthier and Saarela. Go Checkers!";;;;"921508869175758848";https://twitter.com/caitysworld/status/921508869175758848
caitysworld;2017-10-20 22:39;0;0;"wow";;;;"921506274591887360";https://twitter.com/caitysworld/status/921506274591887360
caitysworld;2017-10-20 03:36;0;1;"";;;;"921218563721056256";https://twitter.com/caitysworld/status/921218563721056256
caitysworld;2017-10-20 03:35;0;1;"Gritty win. But it's a win and we'll take it! #Redvolution";;;#Redvolution;"921218395244244992";https://twitter.com/caitysworld/status/921218395244244992
caitysworld;2017-10-20 03:12;0;0;"DARLING!!!!!";;;;"921212474736742400";https://twitter.com/caitysworld/status/921212474736742400
caitysworld;2017-10-20 03:00;0;0;"Finally!!!";;;;"921209531115417600";https://twitter.com/caitysworld/status/921209531115417600
caitysworld;2017-10-20 02:16;0;0;"My living room in Reading, PA";;;;"921198321980596225";https://twitter.com/caitysworld/status/921198321980596225
caitysworld;2017-10-20 01:49;0;0;"";;;;"921191679264198656";https://twitter.com/caitysworld/status/921191679264198656
