username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
gravyslavesTi;2017-11-03 23:46;0;0;"4 people followed me and 6 people unfollowed me // automatically checked by http:// fllwrs.com";;;;"926596396823797761";https://twitter.com/gravyslavesTi/status/926596396823797761
gravyslavesTi;2017-11-03 22:45;0;0;"Lmao I lost my SIM card but look you still can dm a nigga shit";;;;"926581136276574209";https://twitter.com/gravyslavesTi/status/926581136276574209
gravyslavesTi;2017-11-03 22:41;0;1;"Haven’t talked to @Shortstuff_Keke in 5 years cause she don’t fw a nigga no more";;@Shortstuff_Keke;;"926580035795980288";https://twitter.com/gravyslavesTi/status/926580035795980288
gravyslavesTi;2017-11-03 20:22;0;0;"pic.twitter.com/z2yIEelhQ5";;;;"926545122908614658";https://twitter.com/gravyslavesTi/status/926545122908614658
gravyslavesTi;2017-11-03 20:21;0;0;"Yea but that shit glass you can’t be out here taking that risk lmao";;;;"926544859598671872";https://twitter.com/gravyslavesTi/status/926544859598671872
gravyslavesTi;2017-11-03 20:18;0;0;"Don’t get it if you not gone put no case on it lol";;;;"926544208940425216";https://twitter.com/gravyslavesTi/status/926544208940425216
gravyslavesTi;2017-11-03 18:51;0;2;"This the type of shit I’m trynna be on with somebody daughter pic.twitter.com/HAu8g3tkLw";;;;"926522271476436992";https://twitter.com/gravyslavesTi/status/926522271476436992
gravyslavesTi;2017-11-03 16:30;2;0;"Emily funny aab";;;;"926486771193565184";https://twitter.com/gravyslavesTi/status/926486771193565184
gravyslavesTi;2017-11-03 16:30;0;0;"You too much for Twitter lmfaoo https:// twitter.com/mxllysue/statu s/925210071772123136 …";;;;"926486640834633728";https://twitter.com/gravyslavesTi/status/926486640834633728
gravyslavesTi;2017-11-03 16:16;1;0;"I lowkey wanna go out tonight but I gotta work at 5 in da morning";;;;"926483225316331520";https://twitter.com/gravyslavesTi/status/926483225316331520
gravyslavesTi;2017-11-03 15:02;0;0;"";;;;"926464682168410112";https://twitter.com/gravyslavesTi/status/926464682168410112
gravyslavesTi;2017-11-03 15:02;0;0;"Ain’t no bitch in her blood lmao https:// twitter.com/jaydacouture_/ status/926310119792697344 …";;;;"926464557639446534";https://twitter.com/gravyslavesTi/status/926464557639446534
gravyslavesTi;2017-11-03 14:05;1;2;"Me and tawana have a bond that will never be broken, we gone get old together and our kids gone be besties lmao";;;;"926450379012952067";https://twitter.com/gravyslavesTi/status/926450379012952067
gravyslavesTi;2017-11-03 14:04;0;0;"Concentrating on your work requires an intense effort today be... More for Cancer http:// bit.ly/yk3b9m";;;;"926449999218536450";https://twitter.com/gravyslavesTi/status/926449999218536450
gravyslavesTi;2017-11-03 14:04;0;1;"https:// twitter.com/cozywan/status /926449159909117953 …";;;;"926449984794497024";https://twitter.com/gravyslavesTi/status/926449984794497024
gravyslavesTi;2017-11-03 06:01;0;0;"Mmhm don’t forget about me next time";;;;"926328471076442112";https://twitter.com/gravyslavesTi/status/926328471076442112
gravyslavesTi;2017-11-03 05:55;0;0;"Where was my plate? Smh";;;;"926326927455145984";https://twitter.com/gravyslavesTi/status/926326927455145984
gravyslavesTi;2017-11-03 05:08;0;0;"My phone just backed up pictures all the way from 2014 and I'm sick lmao";;;;"926315033344307200";https://twitter.com/gravyslavesTi/status/926315033344307200
gravyslavesTi;2017-11-03 03:11;0;0;"Looook imma text you when my SIM card come";;;;"926285803600400385";https://twitter.com/gravyslavesTi/status/926285803600400385
gravyslavesTi;2017-11-03 02:58;2;2;"@almighty_drip https:// itunes.apple.com/us/album/left- on-red/id1305976764 … https:// itunes.apple.com/us/album/left- on-red/id1305976764 …";;@almighty_drip;;"926282528906010624";https://twitter.com/gravyslavesTi/status/926282528906010624
gravyslavesTi;2017-11-03 02:52;0;0;"I been missing from my life for too long now";;;;"926280870369157120";https://twitter.com/gravyslavesTi/status/926280870369157120
