username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jealousvampire;2017-11-03 23:58;0;0;"I hope u get to soon tbh";;;;"926599466215526400";https://twitter.com/jealousvampire/status/926599466215526400
jealousvampire;2017-11-03 23:57;0;0;"Oops";;;;"926599167933407233";https://twitter.com/jealousvampire/status/926599167933407233
jealousvampire;2017-11-03 23:57;0;0;"We were supposed to get dinner at 7ish but it's now 8 lmao pic.twitter.com/5BUSa5phaB";;;;"926599144839569409";https://twitter.com/jealousvampire/status/926599144839569409
jealousvampire;2017-11-03 23:56;0;0;"Whip";;;;"926599004888227840";https://twitter.com/jealousvampire/status/926599004888227840
jealousvampire;2017-11-03 23:56;0;1;"I hope she grows up soon. Shes so close to the teenage years";;;;"926598961418440705";https://twitter.com/jealousvampire/status/926598961418440705
jealousvampire;2017-11-03 23:55;0;1;"Sigh. I feel that. And im like so fucking sorry it was like that w my brother n i was the middle kid who didn't even live w them.";;;;"926598786079707136";https://twitter.com/jealousvampire/status/926598786079707136
jealousvampire;2017-11-03 23:51;0;0;"Where is deacon blues when u need him";;;;"926597835784630279";https://twitter.com/jealousvampire/status/926597835784630279
jealousvampire;2017-11-03 23:51;0;0;"I've never met her but i wanna just fight pic.twitter.com/6hgB3Em81J";;;;"926597699176206336";https://twitter.com/jealousvampire/status/926597699176206336
jealousvampire;2017-11-03 23:51;0;0;"Wait i never watched supermega like i said i would pic.twitter.com/h4CiNM75Gx";;;;"926597612458905600";https://twitter.com/jealousvampire/status/926597612458905600
jealousvampire;2017-11-03 23:50;0;0;"SHES ONLY 11M";;;;"926597459157151745";https://twitter.com/jealousvampire/status/926597459157151745
jealousvampire;2017-11-03 23:49;3;41;"Your selfies make me go: pic.twitter.com/0HVSXy3zfF";;;;"926597286741856256";https://twitter.com/jealousvampire/status/926597286741856256
jealousvampire;2017-11-03 23:49;0;2;"You are ART. https:// twitter.com/NECROMANClNG/s tatus/926596835539673088 …";;;;"926597193267666944";https://twitter.com/jealousvampire/status/926597193267666944
jealousvampire;2017-11-03 23:49;0;0;"I'm so sorry man. She sounds like a fucking living nightmare";;;;"926597117954674699";https://twitter.com/jealousvampire/status/926597117954674699
jealousvampire;2017-11-03 23:48;0;0;"Ima go wake my moms ass up so we can go get FOOD.";;;;"926596922181406726";https://twitter.com/jealousvampire/status/926596922181406726
jealousvampire;2017-11-03 23:47;0;0;"Making at like 10 or so rts!!!";;;;"926596757462683648";https://twitter.com/jealousvampire/status/926596757462683648
jealousvampire;2017-11-03 23:46;0;0;"Im always BORED";;;;"926596526239092736";https://twitter.com/jealousvampire/status/926596526239092736
jealousvampire;2017-11-03 23:45;0;1;"ASK ME STUFF ON MY CURIOUS CAT THIS ISN'T FUNNY ITS BONEDRY Y'ALL pic.twitter.com/m4vg3hfAhF";;;;"926596345821003777";https://twitter.com/jealousvampire/status/926596345821003777
jealousvampire;2017-11-03 23:45;0;1;"Skintight and ready to LURK";;;;"926596118812807169";https://twitter.com/jealousvampire/status/926596118812807169
jealousvampire;2017-11-03 23:42;20;12;"Rt to be in a gc (stan anything idfc) - wont be very large - don't block - try to avoid arguments - a tad selective (??)";;;;"926595394678779905";https://twitter.com/jealousvampire/status/926595394678779905
jealousvampire;2017-11-03 23:40;1;1;"Purse y — Oh nO https:// curiouscat.me/Venomfilled/po st/228902849?t=1509752426 …";;;;"926594953240891392";https://twitter.com/jealousvampire/status/926594953240891392
