username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kananalove__;2017-11-03 23:50;0;9;"Only The Japril fandom will check a disrespectful show runner a concept and reality I am here for. IT'S HANDLED!";;;;"926597446117003265";https://twitter.com/kananalove__/status/926597446117003265
kananalove__;2017-11-03 13:56;0;0;"Try as you might to express yourself authentically, reality is... More for Aries http:// bit.ly/zzEL3G";;;;"926447935461629953";https://twitter.com/kananalove__/status/926447935461629953
kananalove__;2017-11-02 13:58;0;0;"You might not like it when someone tells you the truth today, ... More for Aries http:// bit.ly/zzEL3G";;;;"926086129903853568";https://twitter.com/kananalove__/status/926086129903853568
kananalove__;2017-11-02 05:54;0;3;"You know what's better than political frustrations? Planting trees!! Breaking ground for my initiative, The Green Love Movement #GreenLove pic.twitter.com/RzvftLJfUG";;;#GreenLove;"925964435902091266";https://twitter.com/kananalove__/status/925964435902091266
kananalove__;2017-11-02 01:12;0;0;"Allegedly??? Who runs Essence??? Better not be a black person my mind Sweety https:// twitter.com/essence/status /925741844469870592 …";;;;"925893271674654720";https://twitter.com/kananalove__/status/925893271674654720
kananalove__;2017-11-01 13:58;0;0;"You are reminded of your birthright to act spontaneously, even... More for Aries http:// bit.ly/zzEL3G";;;;"925723683125002242";https://twitter.com/kananalove__/status/925723683125002242
kananalove__;2017-10-31 23:58;0;1;""These are the end times" is a narrative meant to keep us complacent, oppressed and enslaved. Nope. Better be the end times for ALL of us!";;;;"925512294213345282";https://twitter.com/kananalove__/status/925512294213345282
kananalove__;2017-10-31 18:11;0;1;"Louder pls!! https:// twitter.com/delafro_/statu s/925095808558665732 …";;;;"925424959396220930";https://twitter.com/kananalove__/status/925424959396220930
kananalove__;2017-10-31 13:58;0;0;"You’ve stretched reality as far as you can, and now it’s time ... More for Aries http:// bit.ly/zzEL3G";;;;"925361288540127232";https://twitter.com/kananalove__/status/925361288540127232
kananalove__;2017-10-31 12:55;0;0;"@MigunaMiguna you are a breathe of fresh air in this blindfolded, corrupted and brainwashed country/World #ThankYouMiguna";;@MigunaMiguna;#ThankYouMiguna;"925345469240430592";https://twitter.com/kananalove__/status/925345469240430592
kananalove__;2017-10-31 11:15;0;0;"Omg say it clearly, "there was a low voter turnout" https:// twitter.com/citizentvkenya /status/925291933026672642 …";;;;"925320242900987905";https://twitter.com/kananalove__/status/925320242900987905
kananalove__;2017-10-31 06:46;0;1;"Style? Maybe? People see things different from the way you do and that should be okay. https:// twitter.com/miss_fowwy/sta tus/924714298978562053 …";;;;"925252660852350976";https://twitter.com/kananalove__/status/925252660852350976
kananalove__;2017-10-31 06:42;0;0;"Finally Larry Madowo is acting like a journalist should";;;;"925251625857544192";https://twitter.com/kananalove__/status/925251625857544192
kananalove__;2017-10-31 06:33;0;0;"But tsk tsk Robert Alai slippery like there's no tomorrow. I thought he could prove the tyranny of numbers what changed? pic.twitter.com/8CHQhHeMJa";;;;"925249426976919552";https://twitter.com/kananalove__/status/925249426976919552
kananalove__;2017-10-30 19:56;0;0;"Omg girl is something wrong with April?";;;;"925089142467383296";https://twitter.com/kananalove__/status/925089142467383296
kananalove__;2017-10-30 19:54;0;0;"DRAMA";;;;"925088619408318467";https://twitter.com/kananalove__/status/925088619408318467
kananalove__;2017-10-30 19:11;0;0;". @UKenyatta please remember all of the people around you are fake. They are not your friends. They did not get you voters. #PollResultsKe pic.twitter.com/1GE7lEDmUB";;@UKenyatta;#PollResultsKe;"925077600183169024";https://twitter.com/kananalove__/status/925077600183169024
kananalove__;2017-10-30 18:59;0;0;"Where is this?";;;;"925074730071281665";https://twitter.com/kananalove__/status/925074730071281665
kananalove__;2017-10-30 18:57;0;1;"And this picture is your cover photo? You uncultured swines??? https:// twitter.com/celticcanada/s tatus/925073949976907778 …";;;;"925074302629707776";https://twitter.com/kananalove__/status/925074302629707776
kananalove__;2017-10-30 18:05;0;0;"Because where else was Bonnie vying? https:// twitter.com/robertalai/sta tus/925006601467162626 …";;;;"925061104933498883";https://twitter.com/kananalove__/status/925061104933498883
kananalove__;2017-10-30 15:40;0;0;"Chief Justice be like "I can't believe the circus back in town" #PollResultsKe pic.twitter.com/7Gb3VKMrfT";;;#PollResultsKe;"925024697737195525";https://twitter.com/kananalove__/status/925024697737195525
