username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kientzmariah;2017-11-03 23:59;0;0;"@L8VAN wants to argue w/ me do you sleep under or over a sheet?";;@L8VAN;;"926599794952355841";https://twitter.com/kientzmariah/status/926599794952355841
kientzmariah;2017-11-02 23:14;1;2;"Like I loved you // Brett Young";;;;"926225971186950151";https://twitter.com/kientzmariah/status/926225971186950151
kientzmariah;2017-11-01 19:18;0;4;"Boys like you // Anna Clendening , got me in my feels";;;;"925804260087906304";https://twitter.com/kientzmariah/status/925804260087906304
kientzmariah;2017-11-01 03:23;2;18;"#NewProfilePic pic.twitter.com/V1kqRFTawQ";;;#NewProfilePic;"925563871343071234";https://twitter.com/kientzmariah/status/925563871343071234
kientzmariah;2017-10-31 20:16;0;1;"DEF making these tn https:// twitter.com/thediyideas/st atus/925352346044923904 …";;;;"925456559160692736";https://twitter.com/kientzmariah/status/925456559160692736
kientzmariah;2017-10-26 01:28;0;1;"@tyleenaaaa https:// twitter.com/onherperiod/st atus/922734606612393984 …";;@tyleenaaaa;;"923360600742273025";https://twitter.com/kientzmariah/status/923360600742273025
kientzmariah;2017-10-26 01:09;1;0;"Rt https:// twitter.com/onherperiod/st atus/922583432215126022 …";;;;"923355982339518464";https://twitter.com/kientzmariah/status/923355982339518464
kientzmariah;2017-10-26 01:08;0;3;"*takes pizza rolls out of the oven* https:// twitter.com/onherperiod/st atus/922935752723398657 …";;;;"923355501294788608";https://twitter.com/kientzmariah/status/923355501294788608
kientzmariah;2017-10-26 00:00;2;11;"Funny how one person can make you so happy";;;;"923338537361031168";https://twitter.com/kientzmariah/status/923338537361031168
kientzmariah;2017-10-24 03:03;3;25;"Here are some selfies I wanted to post but had no where 2 so here ya go:) pic.twitter.com/tuuGXEO4zB";;;;"922659905663897600";https://twitter.com/kientzmariah/status/922659905663897600
kientzmariah;2017-10-23 01:39;3;1;"@BeccaaReece https:// twitter.com/_tagsomeonewho _/status/785659807801876480 …";;@BeccaaReece;;"922276287799992320";https://twitter.com/kientzmariah/status/922276287799992320
kientzmariah;2017-10-21 05:31;0;12;"Like for a tbh";;;;"921609915029794816";https://twitter.com/kientzmariah/status/921609915029794816
kientzmariah;2017-10-19 02:44;4;5;"When he texts you something cute https:// twitter.com/tanamongeau/st atus/920823113171877888 …";;;;"920843090608324608";https://twitter.com/kientzmariah/status/920843090608324608
kientzmariah;2017-10-18 22:36;0;1;"I’ve spent the past hour and a half watching vines on YouTube";;;;"920780559575429121";https://twitter.com/kientzmariah/status/920780559575429121
kientzmariah;2017-10-16 01:23;0;1;"I just realized how stupid I was ....";;;;"919735600395190273";https://twitter.com/kientzmariah/status/919735600395190273
kientzmariah;2017-10-15 20:54;0;1;"@elbel_13";;@elbel_13;;"919667921802153987";https://twitter.com/kientzmariah/status/919667921802153987
kientzmariah;2017-10-15 20:54;1;3;"YOU CANT HUM WHILE YOU PLUG YOUR NOSE, WTFFFFFFFFF";;;;"919667882488934400";https://twitter.com/kientzmariah/status/919667882488934400
kientzmariah;2017-10-13 02:52;0;0;"No thanks";;;;"918670629997555712";https://twitter.com/kientzmariah/status/918670629997555712
kientzmariah;2017-10-12 00:08;0;5;"Is anyone else trying to watch riverdale and it’s not working ??!!";;;;"918267160807559169";https://twitter.com/kientzmariah/status/918267160807559169
kientzmariah;2017-10-08 02:55;0;0;"Should I keep Apple Music or just use musi??";;;;"916859463767801856";https://twitter.com/kientzmariah/status/916859463767801856
