username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
krze4no88;2017-11-03 23:59;0;2;"Bigfoot is a little west of Rockingham, in the Uwharrie National Forest #truestory ;-)";;;#truestory;"926599765110018048";https://twitter.com/krze4no88/status/926599765110018048
krze4no88;2017-11-03 23:35;0;1;"Safe travels! Have fun! #DaleYeah";;;#DaleYeah;"926593695809449986";https://twitter.com/krze4no88/status/926593695809449986
krze4no88;2017-11-03 22:54;0;1;"Mrnards wife had a baby on Wed- he's staying home for qualifying and practice, will be back for the race.";;;;"926583420150538240";https://twitter.com/krze4no88/status/926583420150538240
krze4no88;2017-11-03 22:52;0;1;"Gosh I wish more people would have supported this track! It's only 45 min from me. Loved this track!";;;;"926582895984238593";https://twitter.com/krze4no88/status/926582895984238593
krze4no88;2017-11-03 19:02;0;0;"Was this event cancelled? I got a notification that it was cancelled and the link no longer works";;;;"926524955059204096";https://twitter.com/krze4no88/status/926524955059204096
krze4no88;2017-11-03 02:26;1;4;"pic.twitter.com/oNgEKo6nJn";;;;"926274368786792449";https://twitter.com/krze4no88/status/926274368786792449
krze4no88;2017-11-03 02:17;0;2;"Yum!!!! Ate there last week, it was phenomenal! I thank @SloppyYellow for the recommendation! Did not disappoint. The brisket is my fav!";;@SloppyYellow;;"926272132816015360";https://twitter.com/krze4no88/status/926272132816015360
krze4no88;2017-11-03 01:55;0;1;"Oh no! I hope everything is ok and things start to look up for you soon!";;;;"926266585727283200";https://twitter.com/krze4no88/status/926266585727283200
krze4no88;2017-11-03 00:56;0;0;"How close are we to the $8,888?!";;;;"926251754378973186";https://twitter.com/krze4no88/status/926251754378973186
krze4no88;2017-11-03 00:56;1;4;"This is great! @MyBigSexy and @WilliamByron - bravo! No way could I have done that without ! https:// twitter.com/jrmotorsports/ status/926112942667345926 …";;@MyBigSexy @WilliamByron;;"926251600313835523";https://twitter.com/krze4no88/status/926251600313835523
krze4no88;2017-11-03 00:36;0;1;"";;;;"926246724875808768";https://twitter.com/krze4no88/status/926246724875808768
krze4no88;2017-11-03 00:29;0;1;"Yum!!! I'm jealous! I went there last week - it was heavenly!";;;;"926244947044524032";https://twitter.com/krze4no88/status/926244947044524032
