username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
letsrundotcom;2017-11-03 23:47;0;17;"Look who and what are kind of a big deal. @runmeb and @nycmarathon http://www. letsrun.com/forum/flat_rea d.php?thread=8513269 … pic.twitter.com/cSiatisx1W";;@runmeb @nycmarathon;;"926596793449754630";https://twitter.com/letsrundotcom/status/926596793449754630
letsrundotcom;2017-11-03 21:02;1;6;"Lots of big talk in NYC today. Who will deliver on Sunday? http://www. letsrun.com/news/2017/11/l elisa-desisa-guarantees-victory-lemi-berhanu-wants-run-206-207-wilson-kipsang-explains-berlin-dnf-nyc/ …";;;;"926555141196734466";https://twitter.com/letsrundotcom/status/926555141196734466
letsrundotcom;2017-11-03 20:08;0;0;"Have you entered the @RunWithTheHouse NYC prediction contest yet? It's not too late. Do it now and win prizes! http://www. letsrun.com/news/2017/10/l etsrun-com-running-warehouse-nyc-marathon-prediction-contest/ … pic.twitter.com/0IV4QYbDTl";;@RunWithTheHouse;;"926541561059569664";https://twitter.com/letsrundotcom/status/926541561059569664
letsrundotcom;2017-11-03 18:40;1;1;"Betsy Saina Explains Her Split from BTC & Return to Kenya for NYC Marathon Buildup: http:// youtu.be/_EeRjFDxrME?a via @YouTube";;@YouTube;;"926519387368099840";https://twitter.com/letsrundotcom/status/926519387368099840
letsrundotcom;2017-11-03 17:16;0;4;"Wilson Kipsang Explains Berlin DNF, Says He's in Better Shape than 2014: http:// youtu.be/dSg6SQ63K9A?a via @YouTube";;@YouTube;;"926498229620965376";https://twitter.com/letsrundotcom/status/926498229620965376
letsrundotcom;2017-11-03 17:14;0;1;"Geoffrey Kamworor Ready for NYC 2017, Says He Wants to Keep Doing Track and XC: http:// youtu.be/r9mm10jnV4Y?a via @YouTube";;@YouTube;;"926497747619983361";https://twitter.com/letsrundotcom/status/926497747619983361
letsrundotcom;2017-11-03 01:24;0;4;"Safe to say LRC nation thinks there's a favorite in the women's race in New York... http://www. letsrun.com/news/2017/11/2 017-nyc-marathon-womens-preview-mary-keitany-goes-four-straight-edna-kiplagat-shalane-flanagan/ … pic.twitter.com/N98rFS1ReV";;;;"926258747554586625";https://twitter.com/letsrundotcom/status/926258747554586625
letsrundotcom;2017-11-02 22:33;10;23;"Want the scoop on NYC? Here's everything we learned on Thursday. Hint: @ShalaneFlanagan is really fit http://www. letsrun.com/news/2017/11/m eb-reveals-hell-miss-nyc-shalane-says-shes-best-buildup-ever-thursday-nyc-marathon-notes/ …";;@ShalaneFlanagan;;"926215643787034626";https://twitter.com/letsrundotcom/status/926215643787034626
letsrundotcom;2017-11-02 18:40;0;0;"Abdi Abdirahman Before 2017 NYC Marathon: http:// youtu.be/0CRbxjYXXSw?a via @YouTube";;@YouTube;;"926156980670140422";https://twitter.com/letsrundotcom/status/926156980670140422
letsrundotcom;2017-11-02 18:34;4;11;"Molly Huddle Is a Full-Time Marathoner Now: http:// youtu.be/LaLnVL2aiOk?a via @YouTube";;@YouTube;;"926155624936804352";https://twitter.com/letsrundotcom/status/926155624936804352
letsrundotcom;2017-11-02 18:33;0;0;"Shadrack Biwott Is Happy to Be with Hansons-Brooks: http:// youtu.be/6sJZm-qmey4?a via @YouTube";;@YouTube;;"926155321818669057";https://twitter.com/letsrundotcom/status/926155321818669057
letsrundotcom;2017-11-02 17:41;0;2;"Paul Chelimo Says He Wants to Win 3k Gold at 2018 World Indoors: http:// youtu.be/3eNwRzKey5w?a via @YouTube";;@YouTube;;"926142109396230149";https://twitter.com/letsrundotcom/status/926142109396230149
letsrundotcom;2017-11-02 17:38;3;2;"Brenda Martinez Says She's Done With the 800: http:// youtu.be/C4F4NI-ji1Q?a via @YouTube";;@YouTube;;"926141593870094341";https://twitter.com/letsrundotcom/status/926141593870094341
letsrundotcom;2017-11-02 17:36;0;0;"Hassan Mead and Lenny Korir before 2017 USATF Road 5K Champs: http:// youtu.be/rUo9kM0H4Vs?a via @YouTube";;@YouTube;;"926141088112443392";https://twitter.com/letsrundotcom/status/926141088112443392
letsrundotcom;2017-11-02 15:47;5;14;"Reasons why Mary Keitany will win the @nycmarathon on Sunday: http://www. letsrun.com/news/2017/11/2 017-nyc-marathon-womens-preview-mary-keitany-goes-four-straight-edna-kiplagat-shalane-flanagan/ … pic.twitter.com/hEheb2LxAZ";;@nycmarathon;;"926113608945356800";https://twitter.com/letsrundotcom/status/926113608945356800
letsrundotcom;2017-11-02 04:44;9;13;"Now that the World Series is over, it's time to get ready for the @nycmarathon . http://www. letsrun.com/news/2017/11/2 017-nyc-marathon-womens-preview-mary-keitany-goes-four-straight-edna-kiplagat-shalane-flanagan/ …";;@nycmarathon;;"925946759939051520";https://twitter.com/letsrundotcom/status/925946759939051520
letsrundotcom;2017-11-01 14:23;7;16;"Are you excited for @nycmarathon ? We are. Find out who is going to win the men's race here. http://www. letsrun.com/news/2017/11/2 017-nyc-marathon-international-mens-preview-ghebreslassie-guns-repeat-kipsang-tries-bounce-back-kamworor-returns-marathon/ …";;@nycmarathon;;"925729892846788608";https://twitter.com/letsrundotcom/status/925729892846788608
letsrundotcom;2017-11-01 13:18;1;1;"Think you know running? Enter the @runwiththehouse NYC Marathon prediction contest and prove it. (Plus, prizes!) http://www. letsrun.com/news/2017/10/l etsrun-com-running-warehouse-nyc-marathon-prediction-contest/ … pic.twitter.com/K5bHmnbbbP";;@runwiththehouse;;"925713703118491650";https://twitter.com/letsrundotcom/status/925713703118491650
letsrundotcom;2017-10-31 20:27;2;10;"Meb, Jared, Abdi, or Shadrack? Who's your pick to finish as the top American at Sunday's @nycmarathon ? http://www. letsrun.com/forum/flat_rea d.php?thread=8513269 … pic.twitter.com/wJta94ZQwl";;@nycmarathon;;"925459191007006720";https://twitter.com/letsrundotcom/status/925459191007006720
letsrundotcom;2017-10-31 19:32;1;4;"ICYMI from yesterday https:// twitter.com/letsrundotcom/ status/925129185407983616 …";;;;"925445467026153472";https://twitter.com/letsrundotcom/status/925445467026153472
