username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
myunwrittensoul;2017-11-03 23:50;86;162;"“Just because you think you’re worthless doesn’t make it true.”";;;;"926597514152857601";https://twitter.com/myunwrittensoul/status/926597514152857601
myunwrittensoul;2017-11-03 23:45;167;246;""I'm not okay and it hurts like hell."";;;;"926596256088150016";https://twitter.com/myunwrittensoul/status/926596256088150016
myunwrittensoul;2017-11-03 23:30;74;148;""It's a bit like walking down a long, dark corridor, never knowing when the light will go on."";;;;"926592482451877890";https://twitter.com/myunwrittensoul/status/926592482451877890
myunwrittensoul;2017-11-03 23:25;55;120;""It’s better to have nobody than someone who is half there, or who doesn’t want to be there."";;;;"926591221711110144";https://twitter.com/myunwrittensoul/status/926591221711110144
myunwrittensoul;2017-11-03 23:05;49;121;""When boys hold your hand and don't want to let you go."";;;;"926586189741809665";https://twitter.com/myunwrittensoul/status/926586189741809665
myunwrittensoul;2017-11-03 23:00;78;145;""I hate getting close to people, because they always leave. And I always care more than they do."";;;;"926584935523155969";https://twitter.com/myunwrittensoul/status/926584935523155969
myunwrittensoul;2017-11-03 22:55;103;168;""The worst kind of pain is when you're smiling just to stop the tears for falling."";;;;"926583673008410625";https://twitter.com/myunwrittensoul/status/926583673008410625
myunwrittensoul;2017-11-03 22:50;60;158;""Love like ours only happens once in a lifetime."";;;;"926582417103753216";https://twitter.com/myunwrittensoul/status/926582417103753216
myunwrittensoul;2017-11-03 22:40;41;69;""Dark times lie ahead of us and there will be a time when we must choose between what is easy and what is right."";;;;"926579898201903105";https://twitter.com/myunwrittensoul/status/926579898201903105
myunwrittensoul;2017-11-03 22:25;188;303;""I'd risk everything just to make you happy."";;;;"926576125421281282";https://twitter.com/myunwrittensoul/status/926576125421281282
myunwrittensoul;2017-11-03 22:20;38;105;""Work is always an antidote to depression."";;;;"926574867926921216";https://twitter.com/myunwrittensoul/status/926574867926921216
myunwrittensoul;2017-11-03 22:15;91;135;""When you are happy, you enjoy the music. but when you are sad, you understand the lyrics."";;;;"926573607983239168";https://twitter.com/myunwrittensoul/status/926573607983239168
myunwrittensoul;2017-11-03 22:05;52;76;""Sometimes you just need someone to tell you you're not as terrible as you think you are."";;;;"926571094731083778";https://twitter.com/myunwrittensoul/status/926571094731083778
myunwrittensoul;2017-11-03 22:00;37;64;"“In a perfect world, you would love me the way I love you.”";;;;"926569831532498945";https://twitter.com/myunwrittensoul/status/926569831532498945
myunwrittensoul;2017-11-03 21:55;69;89;""Everyone deserves to be happy."";;;;"926568574382112768";https://twitter.com/myunwrittensoul/status/926568574382112768
myunwrittensoul;2017-11-03 21:50;23;54;""I don’t know when it happened but I think I’m in love with you."";;;;"926567314979422208";https://twitter.com/myunwrittensoul/status/926567314979422208
myunwrittensoul;2017-11-03 21:45;48;76;""And then suddenly I became sad for no reason at all."";;;;"926566057120358401";https://twitter.com/myunwrittensoul/status/926566057120358401
myunwrittensoul;2017-11-03 21:40;75;153;""Damn, I wish I could call you mine."";;;;"926564798174760960";https://twitter.com/myunwrittensoul/status/926564798174760960
myunwrittensoul;2017-11-03 21:35;96;138;""No one ever seems to be scared of losing me."";;;;"926563543327105024";https://twitter.com/myunwrittensoul/status/926563543327105024
myunwrittensoul;2017-11-03 21:25;63;92;""Silence is the girls loudest cry."";;;;"926561025075367937";https://twitter.com/myunwrittensoul/status/926561025075367937
myunwrittensoul;2017-11-03 21:20;28;52;""It’s easy for me to lose myself in your eyes."";;;;"926559764812914690";https://twitter.com/myunwrittensoul/status/926559764812914690
myunwrittensoul;2017-11-03 21:15;38;50;"“I am a slave to our memories.”";;;;"926558509147271168";https://twitter.com/myunwrittensoul/status/926558509147271168
myunwrittensoul;2017-11-03 21:10;34;60;""Every girl is beautiful, just takes the right guy to see it."";;;;"926557250961002496";https://twitter.com/myunwrittensoul/status/926557250961002496
myunwrittensoul;2017-11-03 21:00;45;72;""I'm exhausted from trying to be stronger than I feel."";;;;"926554735670423552";https://twitter.com/myunwrittensoul/status/926554735670423552
myunwrittensoul;2017-11-03 20:50;17;31;""It is good to have an end to journey toward; but it is the journey that matters, in the end."";;;;"926552216584048641";https://twitter.com/myunwrittensoul/status/926552216584048641
myunwrittensoul;2017-11-03 20:40;45;66;"“Smile, because it confuses people. Smile, because it’s easier than explaining what is killing you inside.”";;;;"926549700827807744";https://twitter.com/myunwrittensoul/status/926549700827807744
myunwrittensoul;2017-11-03 20:35;70;72;"“Sometimes, you gotta pretend everything is okay."";;;;"926548441546805255";https://twitter.com/myunwrittensoul/status/926548441546805255
myunwrittensoul;2017-11-03 20:30;18;36;""Seek for the pleasure of seeking, not of finding."";;;;"926547185394741248";https://twitter.com/myunwrittensoul/status/926547185394741248
myunwrittensoul;2017-11-03 20:25;84;173;""Panginoon, payakap naman po."";;;;"926545925228630017";https://twitter.com/myunwrittensoul/status/926545925228630017
myunwrittensoul;2017-11-03 20:15;54;97;""I have lost my spark. Everything seems so dark."";;;;"926543410261000192";https://twitter.com/myunwrittensoul/status/926543410261000192
myunwrittensoul;2017-11-03 20:10;25;41;""I can only speak of dark things."";;;;"926542152229965824";https://twitter.com/myunwrittensoul/status/926542152229965824
myunwrittensoul;2017-11-03 20:05;53;108;""I'm honestly just afraid of someone losing interest in me after getting so attached to them."";;;;"926540890860064768";https://twitter.com/myunwrittensoul/status/926540890860064768
myunwrittensoul;2017-11-03 20:00;53;74;""She hurts and she cries. But you can't see the depression in her eyes. Because she just smiles."";;;;"926539636129910785";https://twitter.com/myunwrittensoul/status/926539636129910785
myunwrittensoul;2017-11-03 19:55;43;71;"“I'll never forget how the depression and loneliness felt good and bad at the same time. Still does.”";;;;"926538377855369217";https://twitter.com/myunwrittensoul/status/926538377855369217
myunwrittensoul;2017-11-03 19:50;17;32;""And in my fingers is your name. I plant again and again in the ground."";;;;"926537115910975489";https://twitter.com/myunwrittensoul/status/926537115910975489
myunwrittensoul;2017-11-03 19:40;38;57;""It's not always the tears that measure the pain. Sometimes it's the smile we fake."";;;;"926534598477189120";https://twitter.com/myunwrittensoul/status/926534598477189120
