username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
that_cannabis;2017-11-03 23:53;0;0;"Time isn't on my side and it makes me feel so so sad sometimes";;;;"926598261338771457";https://twitter.com/that_cannabis/status/926598261338771457
that_cannabis;2017-11-02 14:24;0;1;"Sad how you can support someone unconditionally and they still wanna fuck you over";;;;"926092741506977797";https://twitter.com/that_cannabis/status/926092741506977797
that_cannabis;2017-11-01 18:42;0;1;"Got a knot in my stomach";;;;"925795175175282689";https://twitter.com/that_cannabis/status/925795175175282689
that_cannabis;2017-11-01 18:23;0;0;"Ooooo happy early birthday boo boo!!!!!";;;;"925790421036490753";https://twitter.com/that_cannabis/status/925790421036490753
that_cannabis;2017-11-01 16:15;3;3;"I'm kinda sad I didn't get to finish inktober this year due to health issues but here are some favs RT and shoutouts mean the world to me pic.twitter.com/WJw1JH7PAV";;;;"925758189265661959";https://twitter.com/that_cannabis/status/925758189265661959
that_cannabis;2017-11-01 16:01;0;0;"IM AN ARTIST LETS COLLABORATE SHIA";;;;"925754581535088640";https://twitter.com/that_cannabis/status/925754581535088640
that_cannabis;2017-11-01 13:38;0;0;"Morning kisses under warm covers";;;;"925718747087867904";https://twitter.com/that_cannabis/status/925718747087867904
that_cannabis;2017-10-31 18:14;0;0;"They ain't ever gonna support you till you don't need it anymore";;;;"925425887872512006";https://twitter.com/that_cannabis/status/925425887872512006
that_cannabis;2017-10-31 13:46;0;1;"Truly mesmerizing https:// twitter.com/mariasgolden/s tatus/925095450641711104 …";;;;"925358280846782464";https://twitter.com/that_cannabis/status/925358280846782464
that_cannabis;2017-10-28 14:38;0;0;"The things I create for too precious for just anyone to see https:// twitter.com/bangbang963/st atus/924107874112073730 …";;;;"924284335905230848";https://twitter.com/that_cannabis/status/924284335905230848
that_cannabis;2017-10-27 23:43;0;1;"I jus wanna create nd do beautiful things";;;;"924058974697197570";https://twitter.com/that_cannabis/status/924058974697197570
that_cannabis;2017-10-27 15:13;0;1;"AMEN!!! https:// twitter.com/fuzzycuntkins/ status/921556614460489734 …";;;;"923930704848748544";https://twitter.com/that_cannabis/status/923930704848748544
that_cannabis;2017-10-26 11:42;0;0;"Why is everyone tryna fuck with my vibe?";;;;"923515084441300992";https://twitter.com/that_cannabis/status/923515084441300992
that_cannabis;2017-10-24 13:09;0;0;"Allah https:// twitter.com/ajplus/status/ 922691120060157954 …";;;;"922812182680801280";https://twitter.com/that_cannabis/status/922812182680801280
that_cannabis;2017-10-23 15:22;0;0;"Someone gift me a sephora card so I can own/play with @fentybeauty makeup will compensate with my art pls and thank you";;@fentybeauty;;"922483436941582337";https://twitter.com/that_cannabis/status/922483436941582337
that_cannabis;2017-10-23 15:14;0;1;"Anytime b!!! Always have to support fellow and local artists! If you have an email or contact for inquiries send it my way!";;;;"922481342641852416";https://twitter.com/that_cannabis/status/922481342641852416
that_cannabis;2017-10-23 14:45;0;1;"Your work is beautiful! I remember finding your photos and wanting to draw them as prompt. I will tag you for reference! Keep glowin baby!";;;;"922473992551845888";https://twitter.com/that_cannabis/status/922473992551845888
that_cannabis;2017-10-20 23:33;0;0;"Need more women like @sza and @princessnokia in my life";;@sza @princessnokia;;"921519821283627008";https://twitter.com/that_cannabis/status/921519821283627008
