username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
timdperez;2017-11-03 23:51;0;0;"Getting roasted is a sign of endearment";;;;"926597791568166912";https://twitter.com/timdperez/status/926597791568166912
timdperez;2017-11-03 23:45;0;0;"I’m v sorry and you know that you’re my favorite!";;;;"926596150030884865";https://twitter.com/timdperez/status/926596150030884865
timdperez;2017-11-03 23:28;0;0;"Today is a new day!";;;;"926591888114647040";https://twitter.com/timdperez/status/926591888114647040
timdperez;2017-11-03 23:14;0;0;"The feeling isn’t mutual";;;;"926588436655435778";https://twitter.com/timdperez/status/926588436655435778
timdperez;2017-11-03 21:19;0;1;"#NewBrandAlert #OpTIMistic pic.twitter.com/YXO17u2QBC";;;#NewBrandAlert #OpTIMistic;"926559500718424064";https://twitter.com/timdperez/status/926559500718424064
timdperez;2017-11-03 20:18;0;3;"Got an A on this bitch lets fucking gooo!!!";;;;"926544247913824256";https://twitter.com/timdperez/status/926544247913824256
timdperez;2017-11-03 19:09;0;0;"Another day, another midterm";;;;"926526873097592832";https://twitter.com/timdperez/status/926526873097592832
timdperez;2017-11-03 18:44;0;1;"*supergreat handle idea";;;;"926520558946099201";https://twitter.com/timdperez/status/926520558946099201
timdperez;2017-11-03 17:47;0;1;"pic.twitter.com/bPrfodnxel";;;;"926506240959684608";https://twitter.com/timdperez/status/926506240959684608
timdperez;2017-11-03 17:44;0;1;"Writing these down";;;;"926505294212902913";https://twitter.com/timdperez/status/926505294212902913
timdperez;2017-11-03 17:39;0;1;"I thought this was a custom Jets jersey for a second lmao. #ColorblindProblems https:// twitter.com/dougmack/statu s/926503105126047744 …";;;#ColorblindProblems;"926504126837428224";https://twitter.com/timdperez/status/926504126837428224
timdperez;2017-11-03 16:41;0;0;"Will do https:// twitter.com/unclechaps/sta tus/926442036777181184 …";;;;"926489484341927937";https://twitter.com/timdperez/status/926489484341927937
timdperez;2017-11-03 15:41;0;4;"This is the worst fad";;;;"926474308121006081";https://twitter.com/timdperez/status/926474308121006081
timdperez;2017-11-03 07:00;0;2;"I haven’t anticipated an album this much since The Dillinger Escape Plan’s Dissociation. #AOTD #AlbumOfTheNight ? pic.twitter.com/mbLDqgN7yx";;;#AOTD #AlbumOfTheNight;"926343379935412225";https://twitter.com/timdperez/status/926343379935412225
timdperez;2017-11-03 05:48;0;0;"Bruno was so fucking underrated, love YMS reviews https://www. youtube.com/watch?v=smaeBh -bduY …";;;;"926325087162081280";https://twitter.com/timdperez/status/926325087162081280
timdperez;2017-11-03 02:27;0;0;"On what?";;;;"926274638128209920";https://twitter.com/timdperez/status/926274638128209920
timdperez;2017-11-02 23:37;0;0;"THINGS ARE NOT LOOKING IDEAL FOR YOUR BOY";;;;"926231872719302658";https://twitter.com/timdperez/status/926231872719302658
timdperez;2017-11-02 22:29;0;0;"Dodgers in 9";;;;"926214834982592513";https://twitter.com/timdperez/status/926214834982592513
timdperez;2017-11-02 19:15;0;1;"Anytime I step into a Chipotle and don’t see @TAVITG94 it’s a disappointment";;@TAVITG94;;"926165977737211904";https://twitter.com/timdperez/status/926165977737211904
timdperez;2017-11-02 19:09;0;0;"I’m worried about @AvoG2790";;@AvoG2790;;"926164320316043264";https://twitter.com/timdperez/status/926164320316043264
